序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立新歌德美語短期補習班,2020-08-31,鹿港鎮永安一路61號1.2樓,經查招牌增設安親課輔班及國小數學類科、查無108年建物公安檢查申報及未依規定實施短期補習班補習服務契約等項。,限期改善件次,2020-09-16,府教社字第1090331888號
2,私立喬安美語短期補習班,2020-08-31,彰化市義興街1號1.2樓,經查補習班班牌未加註立案字號、補習班未懸掛立案證書、查無教職員工良民證、查無108年建築物防火避難設施與安全檢查申報資料、查無109年消防安全設備檢修申報、補習班性騷擾防治未宣導及未依規定實施短期補習班補習服務契約等項。,限期改善件次,2020-09-23,府教社字第1090353153號
3,私立頂巧心算短期補習班,2020-08-27,彰化市建寶里建寶街132巷1號1.2.樓,1.該班繳款收據格式不符合2.補習班班牌未依規定全名書寫3.消防安全設備檢修申報書、建築物防火避難設施與安全檢查申報結果通知書、補習班服務契約書現場未出示,限期改善件次,2020-09-11,府教社字第1090330376號
4,私立堉惠才藝短期補習班,2020-08-27,彰化市三民路279巷2號1樓,經查該班場所已無經營補習班。,限期改善件次,2020-09-11,府教社字第1090330697號
5,彰化縣私立新高分文理短期補習班,2020-08-27,彰化市民族路253巷130號1、2樓,經查班牌未加註立案字號並增設鋼琴教授招牌、查無教職員工良民證、查無108年建築物防火避難設施與安全檢查申報資料、查無補習班履約保證服務證明(補習班學費採季收非月繳應提供履約保證)及未依規定實施短期補習班補習服務契約等項。,限期改善件次,2020-09-17,府教社字第1090337351號
6,未立案劉皓強棒理化補習班,2020-08-27,彰化市中正路二段487號,經查與立案班址不符並查有高分數學、梅林英文及容華國文等招生廣告(補習班廣告教師未揭露教師真實姓名)，違反補教師資實名制。,限期改善件次,2020-09-17,府教社字第1090337351A號
7,私立拓克英語短期補習班,2020-08-25,彰化市福安里曉陽路51號1.2樓,經查該班場所已無經營補習班。,限期改善件次,2020-09-09,府教社字第1090325272號
8,私立尚展文理短期補習班,2020-08-25,彰化市自強南路284號1.2樓,1.繳款收據格式不服2.補習班班牌未依照規定全名書寫3.教師職員名冊及良民證現場未出示4.未簽訂補習班服務契約書,限期改善件次,2020-09-09,府教社字第1090326340號
9,私立弈智圍棋短期補習班,2020-08-24,彰化市自強南路128號1.2樓,"1.繳款收據格式不符合 2.未經核准增設英語類科3.班牌未依規定全名書寫4.未簽訂補習班服務契約書",限期改善件次,2020-09-08,府教社字第1090324395號
10,彰化縣私立莉特文理短期補習班,2020-08-24,彰化市忠誠路55號1、2樓,1.立案證書未張貼明顯處、2.繳款收據格式不符、3.立案班牌未依規定全名書寫、4.未經核准擅自招生國小對象,限期改善件次,2020-09-08,府教社字第1090324187號
11,彰化縣私立微笑教育文理短期補習班,2020-08-24,彰化市中正路二段613號1、2樓,"班名未依規定書寫 .補習班涉安親課照情形",限期改善件次,2020-09-10,府教社字第1090323240號
12,私立吉米文理短期補習班,2020-08-24,彰化市向陽街82之1號1.2樓,經查該班場所已無經營補習班。,限期改善件次,2020-09-08,府教社字第1090323794號
13,私立劉皓文理短期補習班,2020-08-21,彰化市民族路253巷83號1.2樓,經查該班場所已無經營補習班。,限期改善件次,2020-09-08,府教社字第1090324200號
14,彰化縣私立安迪熊創意美語短期補習班,2020-08-21,彰化市新興里永安街327號1、2樓,本案查無109年消防安全設備檢修申報及未依規定實施短期補習班補習服務契約等項。,限期改善件次,2020-09-17,府教社字第1090341794號
15,私立新郁英達美語短期補習班,2020-08-20,彰化市西勢里西勢街144號1-2f,經查該班場所已無經營補習班。,限期改善件次,2020-09-16,府教社字第1090336008號
16,私立志勝文理短期補習班,2020-08-20,彰化市埔西街267號1-2F,本案經查補習班教師查無良民證及未依規定實施短期補習班補習服務契約等項。,限期改善件次,2020-09-17,府教社字第1090341814號
