序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,基隆市私立亞學文理短期補習班,2020-08-19,基隆市仁愛區華二街10號1-4樓,"１、依基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第23條規定，補習班置班主任一人，應為「專任」，綜理班務，查班主任謝知齊有課才會到班，請貴班申請變更班主任，以符相關規定。 ２、原申請核准班名「基隆市私立亞學文理短期補習班」，惟貴班對外懸掛招牌「亞學文理補習班」，且未於明顯處載核准立案之文號，違反設立及管理規則第17條規定。 ３、立案證書未懸掛於明顯處，違反設立及管理規則第9條規定。 ４、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ５、未依規定與學員或其法定代理人簽訂109年04月01日公告修正之定型化契約，違反設立及管理規則第34條規定。 ６、收據雖依設立及管理規則第27條規定，載明補習班名稱（全名）、班址、立案證號、修業期間、收費項目、各項金額、總額及退費規定等資訊，惟立案證號應為「基府教社參字第0970113966號」，非變更字號「基府教終貳字第1060241808號」，請修正。 ７、原申請核准立案科目國小文理科（國語、數學）1班、國小文理科（國語、數學、自然、社會）2班、國小英文科1班、國中英文科1班、國中數學科1班等共計6班，學生入學資格為國民小學、國民中學，現場查有1間教室8位國小學生進行國小英文課程，尚符規定；另查有3間教室12位國小學生於教室內午睡，涉及兒童課後照顧服務中心業務（俗稱安親班），違反設立及管理規則第41條規定。",限期改善件次,2020-08-28,基府教終貳字第1090241238A號
2,基隆市私立李詮數學文理短期補習班,2020-08-19,基隆市仁愛區劉銘傳路76號1、2樓,"１、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ２、非採「按月收費」方式，未提供履約保證機制證明。 ３、原申請核准立案科目為國中自然科1班、國中數學科1班、國中英文科1班、國小英文科1班及國小文理科（國語、數學、社會、自然）2班等計6班，學生入學資格為國小、國中，現場查有1間教室2位國中學生進行自習，尚符規定；惟另1間教室16位國小學生為休息時間，暫難判定是否違反相關規定。",限期改善件次,2020-08-28,基府教終貳字第1090241238B號
3,基隆市私立地球村語文短期補習班,2020-08-19,基隆市仁愛區愛三路118號5-6樓,"１、本案經目的事業主管機關認定基隆市仁愛區愛三路118號7樓為補習班之範圍，惟查原核准用途為資訊休閒服務業，不符原核准使用，違反建築法第73條第2項規定，未經核准變更使用擅自使用建築物。 ２、貴班擅自擴充補習班班舍於基隆市仁愛區愛三路118號7樓，違反基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第38條規定。 ３、以學員資料卡做為收費證明，未依設立及管理規則第27條規定，載明補習班名稱（全名）、班址、立案證號等資訊。 ４、定型化契約短期補習班核准字號應為「基府教社字第002093號」，非變更字號「基府教終貳字第1060252476號」，請修正。 ５、原申請核准立案科目為美語科11班、日語科6班、韓語科4班等計21班，學生入學資格為國民小學以上國小以上（依規招收），現場查6樓有1間教室4位學員進行美語課程、1間教室7位學員進行日語課程，尚符規定。",限期改善件次,2020-08-28,基府教終貳字第1090241238D號
4,基隆市私立上勤文理短期補習班,2020-08-19,基隆市仁愛區仁二路120號3樓,"１、原申請核准班名「基隆市私立上勤文理短期補習班」，惟貴班對外懸掛招牌「上勤 岑就英才」，違反基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第17條規定。 ２、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ３、原申請核准立案科目為國小文理科（國語、數學、生活）2班、國小文理科（國語、英語、數學、社會、自然）2班、國中數學科1班、國中英文科1班等計6班，學生入學資格為國民小學、國民中學，現場查有1間教室23位學生進行英語課程，尚符規定。 ４、對外懸掛宣傳看板「課業輔導班」，涉及兒童課後照顧服務中心業務（俗稱安親班），違反設立及管理規則第41條規定。",限期改善件次,2020-08-28,基府教終貳字第1090241238C號
5,基隆市私立金亞洲珠算短期補習班,2020-07-29,基隆市安樂區基金一路135巷21弄84號1樓,"１、現場稽查，無人應門。 ２、原申請核准班名「基隆市私立金亞洲珠算短期補習班」，惟貴班對外懸掛招牌「金亞洲補習班」，且核准立案之文號應為「基府教社貳字第0920042351號」非「基府教社自第0930006799」，違反基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第17條規定。 ３、請依規懸掛立案證書於明顯處後拍照。 ４、請提供收據（含收退費規定）。 ５、請提供履約保證機制。 ６、請提供109年4月1日公告修正之定型化契約。 ７、請提供當年度公共意外責任險保險單。 ８、請依性騷擾防治法第7條第2項規定，訂定「基隆市私立短期補習班性騷擾防治申訴及調查處理要點」",限期改善件次,2020-08-27,基府教終貳字第1090229044B號
6,基隆市私立童老師教室短期補習班,2020-07-29,基隆市安樂區樂一路144號3樓,"１、依基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第23條規定，補習班置班主任一人，應為「專任」，綜理班務，查班主任呂靜娟有課才會到班，請貴班申請變更班主任，以符相關規定。 ２、原申請核准班名「基隆市私立童老師教室短期補習班」，惟貴班對外懸掛招牌「童老師教室短期補習班」，且未於明顯處載核准立案之文號，違反設立及管理規則第17條規定。 ３、立案證書未懸掛於明顯處，違反設立及管理規則第9條規定。 ４、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ５、未依規定與學員或其法定代理人簽訂109年04月01日公告修正之定型化契約，違反設立及管理規則第34條規定。 ６、收據未依設立及管理規則第27條規定，載明退費規定等資訊。 ７、未訂定基隆市私立短期補習班個人資料檔案安全維護計畫及未完成基隆市私立補習班揭露學生個人資料查核表，違反設立及管理規則第40條規定。 ８、原申請核准立案科目為國語科1班及數學科1班等計2班，學生入學資格為國小，現場查有1間教室14位國小學生進行數學課程，尚符規定。 ９、張貼宣傳招生海報： （１）國中部「英文班、數學班、理化班」、國小部「美語班」，涉及未經核准即擅自增設科目，違反設立及管理規則第38條規定 （２）國中部「安親班」、國小部「安親班、寒暑安親班」、供應午晚餐，涉及兒童課後照顧服務中心業務（俗稱安親班），違反設立及管理規則第41條規定。 （３）專車接送，未將學生交通車駕駛資料未函報本府核備。",限期改善件次,2020-08-27,基府教終貳字第1090229044D號
7,基隆市私立詮優文理短期補習班,2020-07-29,基隆市安樂區樂利三街28巷2號1樓,"１、原申請核准班名「基隆市私立詮優文理短期補習班」，惟貴班對外懸掛招牌「詮優文理補習班」，違反基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第17條規定。 ２、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ３、未依規定與學員或其法定代理人簽訂109年04月01日公告修正之定型化契約，違反設立及管理規則第34條規定。 ４、收據未依設立及管理規則第27條規定，載明退費規定等資訊。 ５、未訂定基隆市私立短期補習班個人資料檔案安全維護計畫及未完成基隆市私立補習班揭露學生個人資料查核表，違反設立及管理規則第40條規定。 ６、原申請核准立案科目為國小文理科（國語、英語、數學）共計3班，學生入學資格為國民小學，現場查有2間教室8位國小學生未進行課程，故暫難判定是否違反相關規定。",限期改善件次,2020-08-27,基府教終貳字第1090229044A號
8,基隆市私立吉吉童畫村短期補習班,2020-07-08,基隆市中正區義一路2號7樓,"１、依基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第23條規定，補習班置班主任一人，應為「專任」，綜理班務，查班主任王薇僅有課才會到班，請貴班申請變更班主任，以符相關規定。 ２、原申請核准班名「基隆市私立吉吉童畫村短期補習班」，惟貴班對外懸掛招牌「吉吉童畫村」，且未於明顯處載核准立案之文號，違反設立及管理規則第17條規定。 ３、立案證書未懸掛於明顯處，違反設立及管理規則第9條規定。 ４、未將班內全數教職員工（含設立人、班主任）共計5位相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ５、收據未依設立及管理規則第27條規定，載明補習班名稱（全名）、立案證號等資訊。 ６、未訂定基隆市私立短期補習班個人資料檔案安全維護計畫及未完成基隆市私立補習班揭露學生個人資料查核表，違反設立及管理規則第40條規定。 ７、已達30人，未公開揭示性騷擾防治措施，違反性騷擾防治法第7條第2項規定。 ８、原申請核准立案科目為美術科2班，學生入學資格為國民小學，現場查有無學生，尚符規定。",限期改善件次,2020-08-10,基府教終貳字第1090218168D號
9,基隆市私立宜人音樂短期補習班,2020-07-08,基隆市中正區義一路18號11樓,"１	受信總機預備電源電量不足。 ２	收據未依基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第27條規定，載明補習班名稱（全名）、立案證號等資訊，且退費規定內容未更新。 ３	未訂定基隆市私立短期補習班個人資料檔案安全維護計畫及未完成基隆市私立補習班揭露學生個人資料查核表，違反設立及管理規則第40條規定。 ４	已達30人，未公開揭示性騷擾防治措施，違反性騷擾防治法第7條第2項規定。 ５	原申請核准立案科目為音樂（提琴、鋼琴、合唱）科3班，學生入學資格為中、小學，現場查有1間教室1位學生進行鋼琴課程，尚符規定。 ６	招生簡章內容為招收紅蘋果班（2.5-3足歲）、小幼班（3-3.5足歲）、幼幼班（3.5-4足歲）、幼兒班（4-6足歲），未符申請核准學則第16條「學生入學資格為中、小學」，涉及未經核准即擅自增設班級數，違反設立及管理規則第38條規定。",限期改善件次,2020-08-10,基府教終貳字第1090218168B號
10,基隆市私立岑英文理短期補習班,2020-07-08,基隆市中正區義一路22號4樓、基隆市中正區義一路24號4樓,"１、原申請核准教室數為3間，現已變更班內教室數4間。 ２、原申請核准班名「基隆市私立岑英文理短期補習班」，惟貴班對外懸掛招牌「岑就英才」，且核准立案之文號應為「基府教社字第044071號」非「044071」，違反基隆市私立短期補習班設立及管理規則（以下簡稱設立及管理規則）第17條規定。 ３、未將班內全數教職員工（含設立人、班主任）相關資料登錄至直轄市及各縣市短期補習班資訊管理系統，違反短期補習班設立及管理準則第11條之1規定。 ４、未提供當年度公共意外責任險保險單。 ５、已達30人，未公開揭示性騷擾防治措施，違反性騷擾防治法第7條第2項規定。 ６、原申請核准立案科目為國小文理班（國語、英文、數學、社會、自然）2班、國中文理英文1班及國中文理數學1班，班級數共計4班，學生入學資格為國民小學、國民中學，現場查有無學生，尚符規定。 ７、招生簡章內容為「全美安親班」，涉及兒童課後照顧服務中心業務（俗稱安親班），違反設立及管理規則第41條規定；「幼兒美語班」，涉及未經核准即擅自增設班級數，違反設立及管理規則第38條規定。",限期改善件次,2020-08-10,基府教終貳字第1090218168C號
