序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,臺南市私立橡果子音樂短期補習班,2021-05-17,安平區郡平路305號1-2樓,擅自增設美術類科,限期改善件次,,南市教社字第1100683463號
2,臺南市私立魚果文理短期補習班,2021-05-17,安平區健康四街117號2樓,擅自增/減班舍：健康四街117號1、3樓,限期改善件次,,南市教社字第1100683302號
3,臺南市私立苡安文理短期補習班,2021-05-17,安平區健康四街52號1-2樓,建物安檢未出示、消防安檢未出示、公共意外責任險未出示,限期改善件次,,南市教社字第1100683428號
4,臺南市私立班尼頓文理短期補習班,2021-05-12,安平區華平路549號1-3樓,擅自增設國文類科,限期改善件次,,南市教社字第1100683057號
5,博森國際文教事業有限公司附設臺南市私立博森文理技藝短期補習班,2021-05-11,南區健康路一段353號1-2樓,建築物公共安全檢修未申報,限期改善件次,,南市教社字第1100687991號
6,臺南市私立清美英語短期補習班,2021-05-10,中西區建業街2號2樓,擅自增/減班舍：建業街2號1樓,限期改善件次,,南市教社字第1100655842號
7,臺南市私立貝佳美語短期補習班,2021-05-07,歸仁區民權北路175號1-4樓,,公告撤銷立案,2021-05-21,南市教社字第1100606310號
8,臺南市私立耀升文理短期補習班,2021-05-06,中西區南門路247之1號1-2樓,擅自增設類科國文、英文、英檢、社會,限期改善件次,2021-05-26,南市教社字第1100637428號
9,臺南市私立見樹文理短期補習班,2021-05-06,中西區南門路241之3號1-2樓,建物安檢未出示,限期改善件次,,南市教社字第1100637377號
10,臺南市私立金山文理短期補習班,2021-05-06,中西區建康路一段322-1號(1-2樓),建築物公共安全檢修申報未出示,限期改善件次,,南市教社字第1100637338號
11,臺南市私立張簡文理短期補習班,2021-04-29,中西區府前路一段271號2樓、273號2樓,擅自增/減班舍：府前路271號1樓、3-4樓、273號1樓、3-4樓；擅自增設數學理化科目,限期改善件次,,南市教社字第1100636651號
12,臺南市私立智苑文理短期補習班,2021-04-27,安平區文平路463號1-2樓,消防安檢未出示,限期改善件次,2021-05-25,南市教社字第1100635666號
13,臺南市私立英瀚文理短期補習班安平分班,2021-04-27,安平區文平路447號1-3樓,建物安檢未出示、擅自增班,限期改善件次,,南市教社字第1100636385號
14,大山文教股份有限公司附設臺南市私立大山文理短期補習班,2021-04-27,東區東寧路西段29號1-2樓,擴大班舍東區慶東街226號1樓1間,限期改善件次,,南市教社字第1100654002號
15,臺南市私立安琪兒文理短期補習班,2021-04-20,安南區海佃路2段472號1-2樓,擅自增/減班舍：海佃路2段472號3樓,限期改善件次,,南市教社字第1100514752號
16,臺南市私立安琪兒文理短期補習班,2021-04-20,安南區海佃路2段472號1-2樓,擅自增/減班舍：海佃路2段472號3樓,限期改善件次,2021-05-13,南市教社字第1100514752號
17,陳立教育事業股份有限公司附設臺南市私立陳立文理短期補習班,2021-02-24,中西區北門路1段101號5、8、10樓,學生人數超過規定容量,限期改善件次,2021-05-13,南市教社字第1100535682號
18,樺薪文教股份有限公司附設臺南市私立樺薪文理短期補習班,2021-02-24,中西區北門路一段101號6-7樓,學生人數超過規定容量,限期改善件次,2021-04-27,南市教社字第1100369182號
19,臺南市私立新達文理短期補習班,2021-02-23,中西區中山路147號7樓,學生人數超過規定容量,限期改善件次,2021-05-18,南市教社字第1100535625號
20,陳立教育事業股份有限公司附設臺南市私立陳立文理短期補習班,2020-12-23,中西區北門路1段101號5、8、10樓,至校內宣傳或招生,停止招生一個月,2021-01-26,南市教社字第1100057712號
21,臺南市私立小鼓手文理短期補習班,2020-12-21,東區崇明18街1號1-2樓,至校內宣傳或招生,限期改善件次,,
22,臺南市私立康橋英日語會話短期補習班,2020-10-19,東區大學路西段15號1-5樓,教師未登錄、招牌未以立案全銜懸掛,限期改善件次,,南市教社字第1091294668號
23,臺南市私立崇善明文理短期補習班,2020-10-14,東區崇善路195之1號1-2樓,違規擴大立案同址3-4樓,限期改善件次,,南市教社字第1091276219號
24,臺南市私立崇善明文理短期補習班,2020-07-14,東區崇善路195之1號1-2樓,建物安檢未出示、教師未登錄,限期改善件次,,南市教社字第1092862031號
25,臺南市私立蔡老師文理短期補習班,2020-07-14,東區崇善路213號1-2樓,教師未登錄,限期改善件次,,南市教社字第1090862510號
26,臺南市私立全富文理短期補習班,2020-06-23,安南區安富街171號1-2樓,建物安檢未出示、消防安檢未出示、教職員未登錄,限期改善件次,2020-07-01,南市教社字第1090776110號
27,臺南市私立悅智文教文理短期補習班,2020-06-23,安南區安富街196號1-3樓,立案證書未懸掛(已現場改善)、教師未登錄,限期改善件次,2020-07-03,南市教社字第1090777343號
28,臺南市私立重點名耀美語短期補習班,2020-05-07,東區崇善路130號1-3樓,教師未登錄,限期改善件次,2020-05-15,南市教社字第1090581193號
29,臺南市私立李品易文理短期補習班,2020-05-07,東區崇善路128號1-2樓,教師未登錄、違規擴大同址3樓,限期改善件次,2020-05-15,南市教社字第1090582142號
30,臺南市私立道丞文理短期補習班,2019-12-06,北區文賢一路86號2-3樓,1.教師1名未登錄。2.違規擴大使用北區文賢一路86號1樓。,限期改善件次,2019-12-30,南市教社字第1081438999號
31,臺南市私立群英文理短期補習班,2019-11-20,學甲區中山路198-6號1-2樓,未依規定通報主管機關,罰鍰件次,2020-01-02,南市教社字第1081391080號
32,朝陽富元教育股份有限公司附設臺南市私立朝揚文理短期補習班,2019-11-06,中西區永福路2段105號1-2樓,違規擴大同址3樓、教職員未如實登錄、建物安檢未申報,限期改善件次,2019-11-19,南市教社字第1081340273B號
33,臺南市私立必勝文理短期補習班,2019-11-01,北區大興街164巷91號1樓,1.違規擴大北區大興街164巷91號2-3樓,限期改善件次,2019-11-13,南市教社字第1081298987號
