序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立永丞文理短期補習班,2021-03-23,花蓮市林森路23.25號,1、分戶牆擅自開口與申請設立圖說不符2、收據未註明收退費標準,限期改善件次,2021-04-08,府教終字第1100066087號
2,私立高登短期補習班,2021-03-16,花蓮市光復街87號2樓,1、現場未提供110年度消防申報書2、申報平面簡圖與現況不符3、無廣告招牌4、現場未提供收據及補習服務契約書5、未懸掛立案證書及標章6、補習班資訊管理系統教職員工資訊不完整,限期改善件次,2021-04-06,府教終字第1100055761號
3,私立強生文理短期補習班,2021-03-12,花蓮縣光復鄉中華路214號,1、招牌年久失修難以辨識2、現場未提供補習服務契約書,限期改善件次,2021-03-17,府教終字第1100052283號
4,私立喬依學園文理技藝短期補習班,2021-03-12,花蓮縣光復鄉敦厚路10號1至3樓,1、未設置招牌2、現場未提供補習服務契約書,限期改善件次,2021-03-17,府教終字第1100052169號
5,私立多元數學補習班,2013-06-19,花蓮市順興路34號,未申報建築物公共安全，收費收據無退費規定，未訂定簽署補習班服務契約書,限期改善件次,2013-07-09,1020125305
6,私立創新文理技藝短期補習班,2010-12-13,花蓮縣吉安鄉中山路2段77號,,限期改善件次,,
7,私立快樂瑪琪文理技藝短期補習班,2010-12-08,花蓮市民國路32號,,限期改善件次,,
8,私立建中文理短期補習班,2010-12-08,花蓮市花蓮市主力里榮正街206號1樓,,限期改善件次,,
9,私立周揚英文文理短期補習班,2010-12-08,花蓮市民國路18號2-3樓,,限期改善件次,,
10,私立前山文理短期補習班,2007-11-21,花蓮市林森路126號6樓,未申報建築物公共安全檢查簽證，收費收據無班址及退費規定，未訂定簽署補習班服務契約書,限期改善,2007-11-27,府教社字第09601731370號
11,私立加加文理技藝短期補習班,2007-11-21,花蓮市林森路126號2樓,未申報建築物公共安全檢查簽證，收費收據無退費規定，未訂定簽署補習班服務契約書，未投保公共意外責任險,限期改善,2007-11-27,府教社字第09601731320號
12,小荳荳語文補習班,2007-11-21,花蓮市林森路126號3樓,未申報建築物公共安全檢查簽證，收費收據無退費規定，未訂定簽署補習班服務契約書,限期改善,2007-11-27,府教社字第09601731270
13,私立建英文理短期補習班,2007-11-21,花蓮市林森路126號7樓,無立案標章，未訂定簽署補習班服務契約書,限期改善,2007-11-27,府教社字第09601731500號
14,私立精實文理技藝短期補習班,2007-10-29,花蓮市順興路145號,未依規定投保公共意外責任險,限期改善件次,2007-11-01,府教社字第09601618080號
15,美如玉美容美髮短期職業補習班,2007-09-10,花蓮市德安1街190號,,限期改善件次,2007-09-17,府教社字第09601355680號
16,私立石老師文理技藝短期補習班,2007-08-06,富里鄉和平街161巷5號1-4樓,未依規定懸掛立案證書，開例收費收據，未依規定投保公共意外責任險,限期改善件次,2007-08-14,府教社字第09601202920號
17,私立撒母耳之家文理短期補習班,2007-07-18,花蓮市中美十一街11號1樓,擅自擴大班舍至中美路13號，未依規定制定收費收據,糾正件次(列入違規紀錄),2007-07-24,府教社字第0960107380號
18,薛老師補習班,2007-07-04,花蓮市中美路117號3樓之3,未依規定懸掛立案證書及開立收費收據,限期改善件次,2007-07-06,府教社字第09601005810號
19,多元數學補習班,2007-07-04,花蓮市順興路34號,廣告招牌未依規定設置,限期改善件次,2007-07-11,府教社字第096001007110號
20,私立貝爾文理短期補習班,2007-07-04,花蓮市中興路176號,,限期改善件次,2007-07-09,府教社字第09601005640號
21,私立資優文理技藝補習班,2007-06-06,吉安鄉宜昌村宜昌1街26號1樓,,限期改善件次,2007-06-15,府教社字第09600888120號
22,私立羅揚文理短期補習班,2007-05-25,花蓮市林森路121號,立案證書未懸掛、收費收據及短期補習班服役契約書未依規定制定,限期改善件次,2007-06-01,府教社字第09600809440號
23,私立文心學苑文理技藝短期補習班,2007-05-16,吉安鄉中山路3段250號,室內裝修材料不符規定，未依規定訂定收費標準及簽署短期補習班服務契約書,限期改善件次,2007-05-23,府教社字第09600762420號
24,私立思麥兒文理技藝短期補習班,2007-05-16,吉安鄉中山路3段270號,未依規定懸掛證書及制定簽署短期補習班服務契約書,限期改善件次,2007-05-24,府教社字第09600771740號
25,私立比佛利文理短期補習班,2007-04-13,花蓮市花崗街60號,立案標張籍證書未依規定懸掛，招生對象與核准內容不符,限期改善件次,2007-04-19,府教社字第09600577810號
26,大成文理短期補習班,2007-04-11,花蓮市新港街76-4號,,限期改善件次,2007-04-16,府教社字第09600551830號
27,私立歡樂美語美可教室文理短期補習班,2007-03-20,光復鄉光復路25號,,限期改善件次,2007-03-29,府教社字第09600471780號
28,羅偉倫美語短期補習班,2007-02-09,吉安鄉太昌村明仁3街265巷8號,已搬離、無營業,公告撤銷立案,2007-3-16,府教社字第09600405440號
29,巨人文理短期補習班,2007-01-24,花蓮市民國路32-3號,立案證書未懸掛於明顯處,限期改善件次,2007-01-26,府教社字09600176050號
30,私立高斯文理技藝短期補習班,2007-01-24,花蓮市光復街87號2樓,擅自擴大班舍至一樓，室內裝修材質不符合,限期改善件次,2007-02-24,府教社字第09600172960號
31,私立桑德斯文理短期補習班,2006-12-20,花蓮市建中街50巷1號(1樓至4樓),立案證書請懸掛於辦公室明顯處所;收費收據已註明退費規定，但請以立案班名開立，並註明班址。,限期改善件次,,
32,私立文林文理短期補習班,2006-11-28,花蓮市民國路17號1至3樓,立案證書請懸掛於辦公室明顯處所；聘請國風國中數教師李建德代課。,糾正件次(列入違規紀錄),2006-12-14,府教社字第09501894320號
33,私立歡樂美語文理短期補習班,2006-11-10,鳳林鎮中山路9號、11號1樓,未經核准即於花蓮縣鳳森鎮中山路12號擅自擴大班舍，並於該址上課；經詢問現場教師，實際教學教師共3人，請依實際聘用教師，自行上網更新；請投保公共意外責任險；收費應開立正式收據，並於收據備註有關退費之標準，且退費標準不得低於本縣短期補習班設立及管理自治條例之規定。,限期改善件次,2006-11-15,府教社字第09501738750號
34,私立謝老師珠心算短期補習班,2006-03-08,花蓮市建林街83號,未經核准即於花蓮市富國路58號及花蓮市建國路二段662號擅自擴充班舍。,限期改善件次,2006-03-13,府教社字第09500381860號
35,私立佳姿文理短期補習班,2004-12-08,花蓮市三民街82之6號3樓,班內隔局與原核准不符請辦理變更勿提供學童午睡或寢具類似托兒所經營型態,限期改善件次,2004-12-14,府教社字第09301740510號
36,私立經緯文理短期補習班,2004-12-08,花蓮市榮正街85號,2樓未設置緩降機2樓及3樓違規使用請辦理變更手續班舍使用情形與原核准內容不同招生科目與原核准內容不同應辦理變更,限期改善件次,2004-12-14,府教社字第09301745740號
37,私立永安文理短期補習班,2004-12-08,吉安鄉吉安路1段28號,現場教室使用情形與核准內容不同請辦理變更並不得提供點心或讓學童午睡廣告招牌請依核准班名書寫及懸掛隔壁26號1樓部分設有電腦教室稽查時正有學童及教師在上課應立即停止使用,限期改善件次,2004-12-14,府教社字第09301745890號
38,幼福才藝補習班,2004-06-18,花蓮市中原路394巷16號,出口標示&amp;#28783;故障2具避難器具&amp;#28783;2具故障緩降機缺1具,糾正件次(列入違規紀錄),2004-06-23,府教社字第09300873060號
