序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
1,私立有金文理短期補習班,2021-04-19,羅東鎮純精路3段33號1-3樓,未提供定型化契約(非109年版)、未提供公共意外責任險保單、擅自增加一樓及三樓各一間教室,限期改善件次,2021-05-04,府教多字第1100073438號
2,私立卓越文理短期補習班,2021-04-19,羅東鎮四育路91號1-2樓,個人資料檔案維護計畫未備妥,限期改善件次,2021-05-04,府教多字第1100073437號
3,私立百創科學文理短期補習班,2021-03-22,羅東鎮純精路二段103號1-2樓,未提供個人資料檔案安全維護計畫；未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明；未完成性騷擾防治自主查核,限期改善件次,2021-03-31,府教多字第1100053202號
4,私立立承文理短期補習班,2021-01-11,頭城鎮青雲路2段639號1-2樓,收據未提供，未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明,限期改善件次,,
5,私立瑪侍德文理短期補習班,2020-08-13,礁溪鄉礁溪路四段78號2樓,擅自擴充班舍(同棟礁溪路四段78號6樓)，未經核准使用之班舍請立即停止使用(倘有需求請依規定申請擴充班舍)。,限期改善件次,2020-08-17,府教多字第1090134444號
6,私立永冠文理短期補習班,2020-07-27,宜蘭市農權路3段15號1-3樓,未提供個人資料檔案安全維護計畫；未提供補習班教職員名冊、警察刑事紀錄證明；未提供公共意外責任險保單,限期改善件次,2020-08-13,府教多字第1090132795
7,私立奇妙文理短期補習班,2020-06-03,五結鄉台興路53號1樓,收據未提供、未提供個人資料檔案安全維護計畫、未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明、未完成性騷擾防治自主查核、未提供公共意外責任險保單,限期改善件次,2020-06-22,府教多字第1090101045號
8,私立家恩美語短期補習班,2020-06-03,五結鄉協同街1巷5號1-2樓,收據未提供(收據未載明本府核准立案證號、班名、班址、電話、及退費規定)、未提供定型化契約(請提供109年新版定型化契約)、未提供個人資料檔案安全維護計畫、未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明、未完成性騷擾防治自主查核。,限期改善件次,2020-06-18,府教多字第1090098871號
9,私立長勝珠心算文理短期補習班,2020-06-03,五結鄉舊街二路59巷46號1-4樓,立案證書未符合規定(未懸掛正本立案證書)、收據未提供(收據未載明本府核准立案證號、退費規定及未變更門牌整編後之班址)、未提供定型化契約(請提供109年新版定型化契約)、未提供個人資料檔案安全維護計畫、未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明、未完成性騷擾防治自主查核、擅自增加教室(原核准2至4樓共6間教室，現場勘查除3樓1間教室未隔成2間外，餘每間教室皆擅自隔成2間教窒)，未經核准教室請立即停止使用。,限期改善件次,,
10,私立佳音語文短期補習班黎明分班,2020-05-25,宜蘭市女中路1段121號1樓、123號2樓,擅自增加教室(二樓202教室)；未提供公共意外保險文件,限期改善件次,,
11,私立上榜文理短期補習班宜蘭分班,2020-05-25,宜蘭市民權里中華路52-1、52-2、52-3號1樓、52-2號2樓之2,未提供收據；未註明退費規訂；退費說明不府規定；未提供定型化契約；契約書內容不符規定；未完成登錄；未提供個人資料檔案安全維護計畫；計畫內容不符規定；未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明；擅自增減教室；未提供公共意外保險文件；未完成性騷擾防治自主查核,限期改善件次,,
12,私立東華文理短期補習班,2020-04-22,冬山鄉照安路113巷1弄16號1~3樓,立案證書未符合規定(未懸掛於明顯處所)、收據未提供(收據未載明本府核准日期及文號)、未提供定型化契約、未提供個人資料檔案安全維護計畫、未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明、擅自增加教室(原核定2樓及3樓各1間教室，擅自在2樓及3樓各再增加1間教室)、未完成性騷擾防治自主查核、查貴班尚未於直轄市及各縣市短期補習班資訊管理系統(http://bsb.edu.tw)確認或修改教師與職員工資料,限期改善件次,2020-05-01,府教多字第1090070058號
13,私立立升語文短期補習班,2019-11-13,五結鄉利寶路145號,擅自遷址,限期改善件次,,
14,私立明遠文理短期補習班,2019-08-21,宜蘭市成功路66號2-5樓,未提供收據(未載明立案文號)、未提供定型化契約、個人資料檔案安全維護計畫、補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明、廣告不符規定(廣告有國小安親班)、擅自增設類科(國小課程)、查貴班尚未於直轄市及各縣市短期補習班資訊管理系統(http://bsb.edu.tw)確認或修改教師與職員工資料,限期改善件次,2019-08-27,府教多字第1080143062號
15,私立新球美語短期補習班,2019-07-26,三星鄉義德二路116號1樓,未提供個人資料檔案安全維護計畫；未提供補習班教職員名冊、設立人、班主任暨教職員任職切結書、警察刑事紀錄證明；廣告招牌不符規定(未載明核准文字號)；查貴班尚未於直轄市及各縣市短期補習班資訊管理系統(http://bsb.edu.tw)確認或修改教師與職員工資料,限期改善件次,2019-08-07,府教多字第1080131552號
