序號,補習班名稱,稽查日期,班址,違規情形,處理情形,發文日期,發文字號
38,私立李斯特文理短期補習班,2010-07-29,403台中市西區忠明南路430號1-2樓*家長檢安親實驗學生受傷,1.消防安全設備不符規定2.外招班名與立案班名不符3.學生受傷乙事應與學生家長協調解決,限期改善件次,2010-08-04,0990217483
39,私立蕭老師美語會話短期補習班,2010-07-28,403台中市西區向上路1段27之3號1~2樓*市信1233,立案申請美語未經核准廣告貼有書法作文美術心算,限期改善件次,2010-08-04,0990211371
40,私立林歆文理短期補習班,2010-07-27,407台中市西屯區河南路2段301巷9號1~5樓*複,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-07-30,0990216314
41,私立育傳珠心算短期補習班,2010-07-27,404台中市北區綏遠路1段1之9號1~2樓*6/22複查,廣告物未申請設立許可,限期改善件次,2010-07-30,0990216306
42,私立巨明數學短期補習班,2010-07-27,403台中市西區太原路1段78號1~4樓*複,增建違章建築,限期改善件次,2010-07-30,0990216322
43,私立鼎成文理短期補習班,2010-07-26,406台中市北屯區大連路3段112號1~3樓*複查,1.廣告物未申請設立許可,限期改善件次,2010-07-29,0990215731
44,私立大恐龍美語會話短期補習班,2010-07-22,404台中市北區國豐街28號1~3樓*查,無故停止招生逾三個月而未報備者本府將依規撤銷立案,限期改善件次,2010-07-26,0990210748
45,私立偉智電腦短期補習班,2010-07-20,401台中市東區復興路4段82號1~2樓*複查,1.未依規定辦理消防安全設備檢修申報2.防火管理人，消防防護計畫未依規定辦理3.未立案擅自設班招生、收費、授課,限期改善件次,2010-07-30,0990216332
46,私立建國文理短期補習班,2010-07-20,400台中市中區三民路2段46號4樓*複查,經查未經核准擅自擴充班舍99.05.05稽查、99.07.20複查仍未改善處停止招生三個月自99.08.20至99.11.19止,停止招生三個月,2010-08-18,0990216919
47,私立曙光碩哲文理短期補習班,2010-07-19,408台中市南屯區公益路2段302號4樓之1、4樓之2,未依規定辦理消防安全設備檢修申報,限期改善件次,2010-07-29,0990215711
48,私立劉毅英文短期補習班,2010-07-19,404台中市北區三民路3段125號7樓*民檢*dm.班主任,1.未出示公共意外險保單2.招生DM未依規書寫立案字號,限期改善件次,2010-07-29,0990215719
49,私立歐森英語短期補習班,2010-07-19,南區福田路82號1樓*市信6439*88號,1.廣告物未申請設立許可2.消防安全設備不符規定3.未依規定辦理消防安全設備檢修申報4.防火管理人，消防防護計畫未依規定辦理5.不得使用違規教室,限期改善件次,2010-07-29,0990215683
50,私立新超群文理短期補習班,2010-07-15,406台中市北屯區東山路1段146之5號1~5樓,1.違規使用建築物2.班牌未依規定懸掛門口3.未經核准擅自擴充班舍至146-3號,限期改善件次,2010-07-21,0990202063
51,私立亞聖文理短期補習班,2010-07-15,400台中市中區自由路2段8號10樓之1*,未出示公共意外險保單,限期改善件次,2010-07-21,0990202170
52,私立億仁文理短期補習班,2010-07-15,406台中市北屯區東山路1段218巷1號1-2樓*,1.(立案證書)班牌未依規定懸掛2班(園)名、招牌及立案字號未照規定書寫者.,限期改善件次,2010-07-21,0990202089
53,私立聖學文理短期補習班,2010-07-14,407台中市西屯區福瑞街27巷12號16號1-2樓*,立案證書未依規定懸掛,限期改善件次,2010-07-21,0990202204
54,私立朱希文理短期補習班,2010-07-14,"408台中市南屯區惠中路3段30之5號1~5樓 *",未出示公共意外險保單,限期改善件次,2010-07-21,0990202192
55,私立北爾頓文理短期補習班,2010-07-13,407台中市西屯區烈美街23號1-2樓*社移,增建違章建築,限期改善件次,2010-07-16,0990200887
56,私立北爾頓文理短期補習班,2010-07-09,407台中市西屯區烈美街23號1-2樓*性騷非法事件,1.增建違章建築2.消防安全設備不符規定,限期改善件次,2010-07-21,0990206130
57,私立保昕才藝中心,2010-07-08,402台中市南區復興路2段153號2樓,1.消防安全設備不符規定,限期改善件次,2010-07-21,0990195022
58,優質文教事業有限公司附設台中市私立優質文理短期補習班,2010-07-07,408台中市南屯區文心路1段294號1-5樓,1.廣告物未申請設立許可2.增建違章建築3.未依規定辦理消防安全設備檢修申報4.防火管理人，消防防護計畫未依規定辦理5.未出示公共意外險保單,限期改善件次,2010-07-21,0990195176
59,私立名揚文理短期補習班,2010-07-06,407台中市西屯區重慶路255號1-4樓*複查,1.增建違章建築2.未依規定辦理消防安全設備檢修申報3.防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-07-16,0990200214
60,私立捷林語文短期補習班,2010-07-06,407台中市西屯區重慶路154號1~3樓*複查,廣告物未申請設立許可,限期改善件次,2010-07-16,0990200192
61,私立美食家烹飪短期補習班,2010-07-05,北屯區太原路3段389號1樓*-*,廣告物未申請設立許可,限期改善件次,2010-07-13,0990196373
62,私立學成文理短期補習班,2010-07-01,404台中市北屯區漢口路4段95號1-3樓*民檢舉建物2樓陽台外推、1樓違建,1.增建違章建築2.4樓招牌安親課輔廣告請拆除,限期改善件次,2010-07-07,0990186501
63,私立小叮噹英語會話短期補習班,2010-07-01,401台中市東區和平街110巷8之1號2樓*7.1查該班99.7.12小叮噹99字第0001號函將繼續營業,查時為住家未營業跡象請於文到二週內依規定申請(暫停招生或註銷立案,限期改善件次,2010-07-07,0990189853
64,私立一級棒美語數學短期補習班,2010-07-01,401台中市東區和平街181號2-3樓*自由報登亂丟垃圾長官令查,自由報登亂丟垃圾請勸導學生上下課勿亂丟垃圾,限期改善件次,2010-07-20,0990186565
65,私立學識文理短期補習班,2010-07-01,404台中市北區英才路80號1-4樓民檢舉陽台外推、違規使用建築物、擴充B1樓、增設類科,民檢舉陽台外推、違規使用建築物、擴充B1樓、增設類科,限期改善件次,2010-07-20,
66,私立素娟舞蹈職業短期補習班,2010-06-30,404台中市北區中華路2段49號2樓,查時大門深鎖請文到二週內依規申請暫停或註銷,限期改善件次,2010-07-07,0990189874
67,綺綺舞蹈學苑,2010-06-30,台中市南屯區文山九街*處信6525,1.消防安全設備不符規定2.有綺綺舞蹈學苑招牌請拆除,限期改善件次,2010-07-15,0990187047
68,寇老師毅達,2010-06-28,407台中市西屯區福雅路128巷7號1-4樓*複查,違規使用建築物,限期改善件次,2010-07-12,0990196013
69,私立優數美語會話短期補習班,2010-06-28,408台中市南屯區黎明路1段1001號1~4樓,廣告物未申請設立許可,限期改善件次,2010-07-12,0990196010
70,私立非凡比才藝中心,2010-06-15,406台中市北屯區文心路4段938之1號2樓*民檢,1.違規使用建築物2.廣告物未申請設立許可3增建違章建築4.消防安全設備不符規定5.未經核准擅自變更班址,限期改善件次,2010-07-13,990196600
71,私立鎮麟文理短期補習班,2010-06-10,404台中市北區尊賢街9號6樓*文華高中發傳單-主辦交查,請立即停止至本市國立文華高中發行海報,限期改善件次,2010-06-14,0990165035
72,私立大佳文理短期補習班,2010-06-10,401台中市東區台中路131號5樓*民檢舉夜間擴大4.6.7樓教室、消防不合格,5樓為班址6.7樓門外貼倉庫(內置堆放課桌椅一枇)如無使用請即拆除,限期改善件次,2010-06-14,0990165182
73,私立小邏輯文理短期補習班,2010-06-08,403台中市西區大墩十一街115號1~2樓,未依照規定辦理電腦處理個人資料,限期改善件次,2010-06-18,0990165266
74,快客國際有限公司,2010-06-07,台中市中區中正路11號4樓之1*6/4民檢主辦交查,1.未立案擅自設班招生2.防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-06-11,0990164553
75,私立三益音樂短期補習班,2010-06-01,408台中市南屯區南屯路2段113號1~3樓,1.增建違章建築2.未出示公共意外險保單,限期改善件次,2010-06-09,0990158561
76,私立湯尼英日語會話短期補習班,2010-05-27,408台中市南屯區豐富路160巷1、3號1~4樓*教育部函查,網路刊登湯尼英日語文教基金會教育局立案府教社字第167519號之廣告與事實不符應立即改善,限期改善件次,2010-06-03,0990149790
77,威尼斯美語三民分班,2010-05-24,台中市北區三民路3段142之1號1-2樓*,班名、招牌未照規定書寫,限期改善件次,2010-05-27,0990147033
78,私立巨明數學短期補習班,2010-05-24,403台中市西區太原路1段78號1~4樓*,1.增建違章建築2.未經核准擅自增設班級,限期改善件次,2010-05-27,0990147078
79,私立林歆文理短期補習班,2010-05-24,407台中市西屯區河南路2段301巷9號1~5樓*,1.廣告物未申請設立許可2.增建違章建築3.未經核准擅自增設班級,限期改善件次,2010-05-27,0990147099
80,私立陶奇屋美術短期補習班,2010-05-18,"408台中市南屯區文心南五路312號1~2樓*原定5/4稽查,因另案改5/18",1.廣告物未申請設立許可2.未出示公共意外險保單,限期改善件次,2010-05-24,0990142463
81,私立宏林文理短期補習班,2010-05-17,408台中市南屯區東興路2段351號1~4樓,1.廣告物未申請設立許可2.增建違章建築3.未出示公共意外險保單,限期改善件次,2010-05-21,0990142107
82,私立活石文理附設美術短期補習班,2010-05-17,404台中市北區雙十路2段40巷16-1號1-4樓*5/13都移,1.增建違章建築2.廣告物未申請設立許可3.,限期改善件次,2010-05-21,0990142104
83,育達文教事業股份有限公司附設台中市私立育達文理短期補習班,2010-05-11,401台中市東區復興路4段219號1樓.2樓.3樓*曙文查,1.廣告物未申請設立許可2.消防安全設備不符規定,限期改善件次,2010-05-21,0990142087
84,私立貝特美語會話補習班,2010-05-11,408台中市南屯區大墩十二街645巷24號1~3樓,門牌巳整編請於文到10日內辦理變更登記,限期改善件次,2010-05-24,0990141968
85,私立翔宇文理短期補習班,2010-05-11,401台中市東區復興路4段231之2號8樓*曙文查,1.消防安全設備不符規定,限期改善件次,2010-05-24,0990141976
86,私立大宗珠心算附設美語會話短期補習班,2010-05-10,406台中市北屯區雷中街40之7號1~4樓,防火管理人，消防防護計畫未依規定辦理2.未經核准擅自增設班級,限期改善件次,2010-05-24,0990141939
87,私立高點文理短期補習班,2010-05-05,401台中市東區復興路4段231之3號1-2樓*主交,門口貼暫停受理報名99.03.01至99.05.31止,停止招生三個月,2010-05-12,0990129709
88,私立貝斯特美語數學國語文短期補習班,2010-05-03,408台中市南屯區向上南路1段271號1~3樓,1.廣告物未申請設立許可2.消防安全設備不符規定,限期改善件次,2010-05-10,0990128393
89,活石文理附設美術短期補習班,2010-04-28,404台中市北區雙十路2段40巷16-1號1-4樓*消通報1635,1.未維護建築物構造及設備安全2.廣告物未申請設立許可3.增建違章建築4.未依規定使用防焰物品6.未經核准擅自擴充班舍至5樓及隔壁2樓,限期改善件次,2010-05-04,0990121896
90,私立優佳文理短期補習班,2010-04-28,406台中市北屯區四平路417巷7號1-2樓*,1.廣告物未申請設立許可2.增建違章建築3.消防安全設備不符規定4.未依規定辦理消防安全設備檢修申報5.防火管理人，消防防護計畫未依規定辦理6.未出示公共意外險保單,限期改善件次,2010-05-11,0990123593
91,私立康驊美語短期補習班,2010-04-27,408台中市南屯區向上南路1段341號1~2樓,廣告物未申請設立許可,限期改善件次,2010-05-04,0990119610
92,私立建國文理短期補習班,2010-04-27,400台中市中區三民路2段46號4樓*消7521,未經核准擅自擴充班舍為400台中市中區三民路2段42-1號4樓-1、4樓-2、4樓-3,限期改善件次,2010-05-05,0990119443
93,菁英文理,2010-04-26,台中市北屯區文昌東12街16號1樓b1,1.未立案擅自設班招生、收費、授課2.違規使用建築物,限期改善件次,2010-05-04,0990119401
94,私立偉志電腦短期補習班,2010-04-26,401台中市東區復興路4段82號1~2樓,1.廣告物未申請設立許可2.消防安全設備不符規定3.未經核准擅自變更使用分租瑋智實業股份有限公司台中市分公司4.,限期改善件次,2010-05-05,0990119436
95,私立大元美語附設技藝短期補習班,2010-04-20,402台中市南區正義街259號1~4樓,增建違章建築,限期改善件次,2010-04-29,0990112815
96,優特企管顧問股份有限公司附設台中市私立優特美語會話短期補習班,2010-04-20,408台中市南屯區南屯路2段258之1號1~2樓,檢查時大門深鎖未營業,限期改善件次,2010-04-26,0990112813
97,私立音樂王國音樂短期補習班,2010-04-19,407台中市西屯區福科路780號1-4樓*違規變更1-2樓.782號,未經核准擅自變更班址,限期改善件次,2010-04-26,0990112809
98,私立新康德財稅金融法律行政實務短期補習班,2010-04-12,400台中市中區中山路27號4樓之1*4/7消查報,1.防護計畫書內容應補登齊全2未出示公共意外險保單.,限期改善件次,2010-04-29,0990112808
99,私立頂好文理短期補習班,2010-04-01,406台中市北屯區豐樂一街107號1-2樓及豐樂北二路7號1-2樓,1.廣告物未申請設立許可2.增建違章建築3未出示公共意外險保單4.未依照規定辦理電腦處理個人資料.,限期改善件次,2010-04-19,0990089779
100,私立超優文理音樂短期補習班,2010-04-01,406台中市北屯區后庄路250巷31號1-4樓,查時無營業跡象文到二週內依規申請暫停或註銷,限期改善件次,2010-04-26,0990105092
101,私立建文文理短期補習班,2010-03-29,407台中市西屯區大隆路76、78號1~2樓,未依照規定辦理電腦處理個人資料,限期改善件次,2010-04-08,0990090638
102,私立大世界美日語會話短期補習班,2010-03-18,404台中市北區三民路3段114號5樓A*市信5612,1.收費收據不符2.未出示公共意外險保單3.未依照規定與學生或其法定代理人簽訂補習服務契約書,限期改善件次,2010-04-01,0990073614
103,私立佳宜美語短期補習班,2010-03-17,406台中市北屯區中清路五中巷22弄18號1~2樓*車輛不合格,1.立案證書未依規定懸掛2.收費收據不符3.未出示公共意外險保單,限期改善件次,2010-04-01,0990072348
104,私立翁瑞榮舞蹈短期補習班,2010-03-16,403台中市西區向上路1段5號2樓之1,廣告物未申請設立許可,限期改善件次,2010-03-23,0990071564
105,私立貝登堡松竹文理短期補習班,2010-03-15,406台中市北屯區昌平路2段12-27號1-4樓*車輛不合格,1.廣告物未申請設立許可2.增建違章建築3未依照規定辦理電腦處理個人資料.,限期改善件次,2010-03-22,0990072819
106,私立普霖斯頓美語短期補習班,2010-03-15,西區大墩十街95號2樓、85號1~3樓*複查,1.增建違章建築2.未經核准擅自增設擴充班舍,限期改善件次,2010-03-29,0990081037
107,康乃爾英語股份有限公司附設台中市私立康乃爾語文短期補習班,2010-03-12,408台中市南屯區公益路2段493號1-5樓*車輛不合格,未出示建物使用執照及公安申報,限期改善件次,2010-03-19,0990072366
108,私立哥倫比亞美語短期補習班,2010-03-11,403台中市西區五權西五街129號1~2樓*車輛不合格,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-03-19,0990067372
109,私立馬加大才藝中心,2010-03-11,408台中市南屯區大隆路83號1~2樓*政595,1.增建違章建築及消防安全設備不符規定,限期改善件次,2010-03-18,0990071481
110,私立林子文理短期補習班,2010-03-11,404台中市北區英才路455號2-4樓*市民檢舉擴大5、6樓,1.廣告物未申請設立許可2.未出示公共意外險保單3未依照規定辦理電腦處理個人資料.4收費收據未出示5.立案證書未依規定懸掛.6.5樓及6樓有教室請速至本府申請增加班舍,限期改善件次,2010-03-15,0990066284
111,私立森學堂文理短期補習班,2010-03-09,408台中市南屯區大進街519號1-4樓*政595移,1.增建違章建築2.未依照規定製作收據,限期改善件次,2010-03-19,0990072803
112,私立妙光文理短期補習班,2010-03-08,407台中市西屯區大有五街47號1-3樓*車輛不合格,1.消防安全設備不符規定2.未依規定辦理消防安全設備檢修申報3防火管理人，消防防護計畫未依規定辦理4.未依照規定辦理電腦處理個人資料,限期改善件次,2010-03-15,0990064774
113,私立查威爾文理短期補習班,2010-03-08,402台中市南區工學一街182號1-4樓及402台中市南區工學一街186之1號1-3樓,1.消防安全設備不符規定2.防火管理人，消防防護計畫未依規定辦理,限期改善件次,2010-03-15,0990064769
114,私立大中文理短期補習班,2010-03-03,402台中市南區正義街259號5樓*車輛不合格,增建違章建築,限期改善件次,2010-03-16,0990057080
115,私立廣育文理短期補習班,2010-03-02,404台中市北區育德路156號1-3樓,1.廣告物未申請設立許可2增建違章建築3.未出示公共意外險保單4..未依照規定辦理電腦處理個人資料,限期改善件次,2010-03-05,0990057606
116,私立宙思英語短期補習班,2010-03-02,406台中市北屯區大連路3段132號1~2樓,1.違規使用建築物2.廣告物未申請設立許可,限期改善件次,2010-03-12,0990063180
117,私立小百合才藝中心,2010-03-01,408台中市南屯區文昌街169號1~3樓,1.消防安全設備不符規定,限期改善件次,2010-03-05,0990057530
118,私立宏林文理短期補習班,2010-03-01,408台中市南屯區東興路2段351號1~4樓,1.增建違章建築2.未經核准擅自增設安親課輔班3.未依照規定招生4.未依照規定辦理電腦處理個人資料未出示,限期改善件次,2010-03-05,0990057445
119,私立高登精緻文理短期補習班,2010-02-26,404台中市北區中華路2段112之1號2-4樓,未依照規定辦理電腦處理個人資料,限期改善件次,2010-03-05,0990052935
120,私立巨林文理短期補習班,2010-02-25,402台中市南區大忠南街218號1~3樓,未依照規定辦理電腦處理個人資料,限期改善件次,2010-03-08,0990050709
121,私立格言英語會話短期補習班,2010-02-24,台中市北屯區406河北路2段118號1樓,1.廣告物未申請設立許可2.收費收據不符,限期改善件次,2010-03-08,0990049319
122,私立惠新珠心算短期補習班,2010-02-22,408台中市南屯區向上路1段714號1~4樓,1.廣告物未申請設立許可,限期改善件次,2010-03-01,0990051987
123,私立馬可美語短期補習班,2010-02-09,406台中市北屯區平德路27號1-3樓,消防安全設備不符規定,限期改善件次,2010-02-23,0990043443
124,私立金志光法商短期補習班,2010-02-08,401台中市東區復興路4段53號3樓、9樓之2,未經核准擅自擴充班舍,限期改善件次,2010-02-25,0990043435
125,私立佳園珠心算短期補習班,2010-02-04,406台中市北屯區崇德六路42號1~2樓、夾層*民檢舉擴大,1.廣告物未申請設立許可2.收費收據不符3.未經核准擅自增設&amp;#38954;科,限期改善件次,2010-02-23,0990035695
126,私立新巨擘美語會話短期補習班,2010-02-02,406台中市北屯區北華街12號1~4樓,99.01.07及99.02.02稽查巳歇業並停止招生逾3個月未報備本府依法撤銷立案登記,公告撤銷立案,2010-02-06,0990033460
127,私立考友社文理法商短期補習班,2010-01-28,400台中市中區建國路103號1-4樓*處信00576,未依照規定辦理電腦處理個人資料,限期改善件次,2010-02-22,0990031888
128,私立丹力雯文理短期補習班,2010-01-28,406台中市北屯區瀋陽路2段147號1-2樓及夾層*,1.廣告物未申請設立許可2.未依照規定辦理電腦處理個人資料,限期改善件次,2010-02-22,0990031835
129,私立佳譽文理短期補習班,2010-01-21,407台中市西屯區青海路2段246-10號1-4樓*查,班牌未依規定懸掛,限期改善件次,2010-02-01,0990021741
130,私立小太陽才藝中心,2010-01-21,407台中市西屯區重慶路120巷6號1~3樓*,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-01-28,0990021755
131,私立高點文理短期補習班,2010-01-21,"401台中市東區復興路4段231之3號1-2樓  4",刊登誇大不實招生廣告文宣經本府98.07.30、98.11.20、99.01.21稽查至今仍未改善,停止招生三個月,2010-02-24,0990041959
132,私立米克森美語會話短期補習班,2010-01-19,407台中市西屯區西屯路2段上石南6巷42之1號1~3樓,1.廣告物未申請設立許可2.增建違章建築,限期改善件次,2010-01-29,0990028273
133,私立傑人忠信文理短期補習班,2010-01-12,403台中市西區五廊街90號1樓,查時B1設教室4間有放置桌椅設備,限期改善件次,2010-01-29,0990028228
134,私立眾允美語會話短期補習班,2010-01-12,台中市北屯區大連路1段134號1~4樓,1.廣告物未申請設立許可2.增建違章建築3.消防安全設備不符規定4.防火管理人，消防防護計畫未依規定辦理5..滅火器壓力不足照明燈故障,限期改善件次,2010-01-29,0990028220
135,育達文教事業股份有限公司附設台中市私立育達文理短期補習班,2010-01-08,401台中市東區復興路4段219號1~3樓*曙,1.廣告物未申請設立許可2.未依規定辦理消防安全設備檢修申報,限期改善件次,2010-01-13,0990008284
136,私立正人仁美語會話附設數學短期補習班,2010-01-06,407台中市西屯區福科路292號1-3樓*1999列管4樓及後院,經本府稽查98.10.27、98.12.23、99.01.06未經核准擅自擴充班舍及班級經本府查3次未改善處停止招生三個月,停止招生三個月,2010-01-21,0990007342
137,私立環宇文理短期補習班,2010-01-05,400台中市中區中正路11號B1,1.廣告物未申請設立許可2.未依照規定辦理電腦處理個人資料,限期改善件次,2010-01-12,0990008146
138,私立勗晟文理短期補習班,2010-01-05,403台中市西區大全街8號1-2樓*曙,1.違規使用建築物2.未維護建築物構造及設備安全,限期改善件次,2010-01-12,0990008155
