地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
宜蘭縣政府,私立稚元短期補習班,,,文理類,蘇澳鎮城東路105號1-2樓,2019-01-24
宜蘭縣政府,私立勤學社音樂英文會話短期補習班,,chs668@ms64.hinet.net,外語類,羅東鎮興東路319.321號1-4樓,1995-09-15
宜蘭縣政府,私立明思文理短期補習班,,max510808@gmail.com,文理類,羅東鎮敬業路8之2號1-3樓,2017-09-26
宜蘭縣政府,私立春天音樂技藝短期補習班,,,音樂、舞蹈類,冬山鄉照安路33巷42號1-2樓,2021-02-23
宜蘭縣政府,私立翰林文理短期補習班,,,文理類,宜蘭市女中路1段127巷6號1-2樓,2021-04-13
宜蘭縣政府,財團法人天主教蘭陽青年會附設舞蹈短期補習班,,lycc1966@gmail.com,音樂、舞蹈類,羅東鎮北成路1段189號1樓,2010-06-21
宜蘭縣政府,私立有金文理短期補習班,,,文理類,羅東鎮純精路3段33號1-3樓,2007-01-11
宜蘭縣政府,私立小鹿日方才藝空間短期補習班,,,美術、書法、攝影、美工設計、圍棋類,羅東鎮興東南路25號1樓,2021-04-06
宜蘭縣政府,私立文莘文理短期補習班,,,文理類,礁溪鄉和平路30號1-2樓,2009-10-23
宜蘭縣政府,私立超強文理短期補習班,,,文理類,羅東鎮愛國路250號1~2樓,2004-10-29
宜蘭縣政府,私立倍加文理短期補習班,,best9312699@gmail.com,文理類,宜蘭市嵐峰路三段326巷6號1-3樓,2006-02-09
宜蘭縣政府,私立澳斯汀美語短期補習班,,,文理類,羅東鎮忠孝路149號1-4樓,2012-11-01
宜蘭縣政府,私立一橋文理才藝短期補習班,,9882021@gmail.com,文理類,礁溪鄉和平路54號1樓,2001-11-28
宜蘭縣政府,亞昕教育股份有限公司附設宜蘭縣私立佳昕文理短期補習班,,,文理類,羅東鎮北成路1段282號1-3樓,2006-02-07
宜蘭縣政府,私立楊平文理短期補習班,,yung0374@gmail.com,文理類,五結鄉新生路31號1-2樓,2013-02-25
宜蘭縣政府,私立磊哥頂尖數學文理短期補習班,,,文理類,宜蘭市文化路13號1-3樓,2009-05-05
