地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
基隆市政府,基隆市私立立昇文理短期補習班,203,pepegk58@gmail.com,文理類,基隆市中正區中正路666-1號2樓,2004-01-29
基隆市政府,基隆市私立國民文理短期補習班,193,c120512031@yahoo.com.tw,文理類,基隆市中山區中和路168巷7弄12號2樓,2003-09-03
基隆市政府,基隆市私立文殊文理短期補習班,226,jacky77315@gmail.com,文理類,基隆市中山區德安路2-14號2樓,2005-01-13
基隆市政府,基隆市私立大成文理短期補習班,081,,文理類,基隆市中山區西定路296巷1號,2000-06-01
基隆市政府,基隆市私立蕾頓文理短期補習班,061,debra141717@yahoo.com.tw,外語類,基隆市中山區中和路85巷9號,2001-03-27
基隆市政府,基隆市私立名宏文理短期補習班,122,,文理類,基隆市仁愛區南榮路134巷2之1號4樓,1998-06-10
基隆市政府,基隆市私立紅腳文理短期補習班,422,,文理類,基隆市信義區教忠街56號1樓,2020-12-03
基隆市政府,基隆市私立新華文文理短期補習班,097,alien850101@gmail.com,文理類,基隆市信義區東明路10號3樓,1999-03-05
基隆市政府,基隆市私立黌理文理短期補習班,394,holyscience2016@gmail.com,文理類,基隆市仁愛區愛三路128號8樓,2017-03-17
基隆市政府,基隆市私立均晨文理短期補習班,036,kuo_jean@yahoo.com.tw,文理類,基隆市仁愛區仁一路133號4樓、基隆市仁愛區仁一路133號4-1樓,2002-01-14
基隆市政府,基隆市私立星時代舞蹈短期補習班,424,,音樂、舞蹈類,基隆市暖暖區暖暖街379巷123號1樓,2021-03-24
基隆市政府,基隆市私立雪力文理短期補習班,336,linwanru01@yahoo.com.tw,文理類,基隆市中正區中正路623-1號2樓、基隆市中正區中正路625-1號2樓,2011-05-04
基隆市政府,基隆市私立陳老師文理短期補習班,253,grace.lian@msa.hinet.net,文理類,基隆市中正區信一路158號2-3樓,2006-01-06
基隆市政府,基隆市私立穎聰語文短期補習班,034,"Kathryan Lee &amp;amp;amp;amp;amp;amp;lt;kathryan_lee@yahoo.com&amp;amp;amp;amp;amp;amp;gt;",外語類,基隆市七堵區永富路112號1樓,2002-01-21
基隆市政府,基隆市私立萊萊語文短期補習班,306,hs2161@hess.com.tw,外語類,基隆市七堵區明德一路156號2-4樓；基隆市七堵區明德一路158號1-4樓,2009-02-11
基隆市政府,基隆市私立興學文理短期補習班,395,hs2220@hess.com.tw,外語類,基隆市仁愛區仁一路299號3-5樓,2017-03-22
基隆市政府,基隆市私立吳平文理短期補習班,145,no05082001@yahoo.com.tw,文理類,基隆市中正區義一路18號8樓,1997-03-03
基隆市政府,基隆市私立新吳平文理短期補習班,223,no05082001@yahoo.com.tw,文理類,基隆市中正區義一路18號7樓,2004-11-10
基隆市政府,基隆市私立健德吳平短期補習班,354,no05082001@yahoo.com.tw,文理類,基隆市安樂區安和一街136號1樓、基隆市安樂區安和一街150號1樓,2012-11-23
基隆市政府,智基科技開發股份有限公司附設私立志光法商文理短期補習班,001,pai598@hotmail.com,文理類,基隆市仁愛區忠二路16之1號1-3樓,2003-02-17
基隆市政府,基隆市私立精實文理短期補習班,265,chunghs.kung@msa.hinet.net,文理類,基隆市七堵區福一街16號1樓,2006-09-01
基隆市政府,基隆市私立佳英文理短期補習班,053,no05082001@yahoo.com.tw,文理類,基隆市仁愛區仁二路142號1-2樓,2001-05-14
基隆市政府,基隆市私立小吳平文理短期補習班,305,no05082001@yahoo.com.tw,文理類,基隆市仁愛區仁二路150號1-3樓,2009-01-09
基隆市政府,基隆市私立耶魯文理短期補習班,246,s197234.s61858712@gmail.com,文理類,基隆市安樂區武嶺街213-2、213-3、213-4、247-3、247-4、247-5號,2005-10-17
基隆市政府,基隆市私立溫鴻文理短期補習班,030,win_home2899@yahoo.com.tw,文理類,基隆市安樂區安樂路2段130號3樓、基隆市安樂區安樂路2段132號3樓,2002-04-10
基隆市政府,基隆市私立禾紜文理短期補習班,093,paul04162002@yahoo.com.tw,文理類,基隆市中山區中和路89號2樓、基隆市中山區中和路91號2樓,1999-07-08
基隆市政府,基隆市私立林老師文理短期補習班,423,b01703009@ntu.edu.tw,文理類,基隆市中正區武昌街5之1號2樓,2021-03-03
基隆市政府,基隆市私立星辰文理短期補習班,171,vivienne0918@gmail.com,文理類,基隆市七堵區自治北街24-2號3樓,1994-04-13
基隆市政府,基隆市私立文昱文理短期補習班,016,yping0227@gmail.com,文理類,基隆市安樂區安樂路二段131之5號、基隆市安樂區安樂路二段133之5號,2002-07-19
基隆市政府,基隆市私立榮光文理短期補習班,377,good.luck.vv@gmail.com,文理類,基隆市中正區祥豐街347號2樓,2014-10-02
基隆市政府,基隆市私立孟凱麗文理短期補習班,379,,文理類,基隆市仁愛區延平街12巷16號3樓,2014-12-15
基隆市政府,基隆市私立海吉文理短期補習班,372,sunny.h.ho@gmail.com,文理類,基隆市仁愛區仁二路127號1-3樓,2014-05-29
基隆市政府,基隆市私立大智文殊文理短期補習班,321,evans1974@gmail.com,文理類,基隆市信義區教忠街40巷32號1-2樓,2010-01-29
基隆市政府,基隆市私立東美文理短期補習班,368,jingaero@yahoo.com.tw,文理類,基隆市信義區深澳坑路2-28號,2014-01-17
基隆市政府,基隆市私立賴老師文理短期補習班,127,,文理類,基隆市仁愛區仁二路95號4-5樓,1998-03-05
基隆市政府,基隆市私立吹泡泡藝術才藝短期補習班,378,tracy2452820263@gmail.com,美術、書法、攝影、美工設計、圍棋類,基隆市七堵區福二街172巷6號1樓,2014-10-07
基隆市政府,基隆市私立佳佳文理短期補習班,181,c92103201@yahoo.com.tw,文理類,基隆市仁愛區愛五路12號3樓,1987-12-17
基隆市政府,基隆市私立冠捷文理短期補習班,245,,文理類,基隆市仁愛區仁二路72號2-3樓,2005-10-13
基隆市政府,基隆市私立小象文教短期補習班,349,,文理類,基隆市七堵區崇禮街26號1-3樓,2015-10-23
基隆市政府,基隆市私立小象短期補習班,101,,文理類,基隆市七堵區明德一路186號3樓、基隆市七堵區明德一路188號3樓,2012-07-18
