地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
苗栗縣政府,學晨文教顧問股份有限公司附設苗栗縣私立學華文理短期補習班,,sc278808@yahoo.com.tw,文理類,苗栗縣苗栗市福麗里35鄰北安街18號1樓/苗栗縣苗栗市褔麗里35鄰府前路160巷51弄2號,2016-04-15
苗栗縣政府,苗栗縣私立伊頓文理技藝短期補習班,,,文理類,苗栗縣通霄鎮通東里1鄰中正路3之5號1樓,2019-01-02
苗栗縣政府,苗栗縣私立新潮文理短期補習班,421,,文理類,苗栗縣竹南鎮營盤里22鄰博愛街301號3F；苗栗縣竹南鎮營盤里22鄰博愛街341號4F,2014-05-27
苗栗縣政府,巨匠電腦股份有限公司附設電腦技藝短期補習班竹南分班,723,nicole.chen@pcschool.com,資訊類,苗栗縣竹南鎮延平路110號1-2樓、108號2樓,2004-11-19
苗栗縣政府,苗栗縣私立立冠文理短期補習班,314,,文理類,苗栗縣公館鄉館南村弘南街104號1F,2011-10-11
苗栗縣政府,苗栗縣私立時宇文理短期補習班,447,jianguo.ml@eagletw.com,外語類,"苗栗縣頭份市合作街33號2F,合作街29巷2號1F",2008-05-31
苗栗縣政府,苗栗縣私立樹人資優文理短期補習班,,leemike6666@gmail.com,文理類,苗栗縣頭份市中正二路43號1-2樓,2017-06-21
苗栗縣政府,苗栗縣私立小荳荳文理技藝短期補習班新南分班,,,文理類,竹南鎮苗栗縣竹南鎮新南里22鄰新南街126號1-2樓,2021-04-15
苗栗縣政府,史丹佛文教事業股份有限公司附設苗栗縣私立史丹佛文理短期補習班,,,文理類,苗栗縣頭份市光華北路10號1-4樓,2002-09-13
苗栗縣政府,苗栗縣私立群英文理短期補習班,,chen.shin085@gmail.com,文理類,苗栗縣竹南鎮中正路351號1樓,2019-04-04
苗栗縣政府,苗栗縣私立學儒文理短期補習班,134,,文理類,苗栗縣通霄鎮通東里1鄰中正路3-4號,2007-09-03
苗栗縣政府,苗栗縣私立佳大文理短期補習班,391,sugar11084@gmail.com,文理類,苗栗縣竹南鎮山佳里龍山路3段211號,2013-05-06
苗栗縣政府,苗栗縣私立泰龍文理短期補習班,,cpchen0505@yahoo.com.tw,文理類,頭份市苗栗縣頭份市蟠桃里7鄰華美街18號1-2樓,2021-03-14
苗栗縣政府,苗栗縣私立勤曜文理短期補習班,108,,文理類,苗栗縣苗栗市蕉嶺街58號1-2F,2007-01-11
苗栗縣政府,苗栗縣私立琅琅美語技藝短期補習班,176,meitsutang@yahoo.com,外語類,苗栗縣造橋鄉大西村尖豐路176號1-2F,2008-07-01
苗栗縣政府,苗栗縣私立立佳文理短期補習班,388,,文理類,苗栗縣竹南鎮正南里大營路104號1-2F,2013-03-25
苗栗縣政府,苗栗縣私立達昇珠心算技藝短期補習班,728,,商類：珠算、心算、會計,苗栗縣苑裡鎮苑南里和平路41號1F,2004-11-19
苗栗縣政府,苗栗縣私立愛力兒文理短期補習班,456,,文理類,苗栗縣後龍鎮大庄里成功路266號1-2F,1999-07-20
苗栗縣政府,苗栗縣私立丹尼爾美語技藝短期補習班,169,penny-yea@hotmail.com,外語類,苗栗縣銅鑼鄉銅鑼村銅鑼街46號,2008-04-17
苗栗縣政府,苗栗縣私立流星街文理短期補習班,,,文理類,"苗栗縣苗栗市建功里忠孝路166號A1 166號2樓A2",2017-08-18
苗栗縣政府,苗栗縣私立小太陽文理短期補習班,392,37006cc@giraffe.com.tw,外語類,苗栗縣公館鄉館中村宮前路107號1-2F,2013-04-25
苗栗縣政府,苗栗縣私立愛彌兒文理短期補習班,359,,文理類,苗栗縣苗栗市文山里自治路491號3F,2012-05-17
苗栗縣政府,苗栗縣私立愛彌兒美語技藝短期補習班,397,,外語類,苗栗縣苗栗市北苗里19鄰香格25號1F,2013-05-17
苗栗縣政府,苗栗縣私立菁英中心文理短期補習班,,,文理類,苗栗縣苗栗市建功里22鄰和平路131號1樓,2015-12-22
苗栗縣政府,苗栗縣私立米妮技藝文理短期補習班,052,,文理類,苗栗縣苗栗市福麗里10鄰民族路229號2-4F,2005-02-04
苗栗縣政府,苗栗縣私立藝果文理短期補習班,,,文理類,苗栗縣竹南鎮環市路二段177號1樓,2017-07-24
苗栗縣政府,苗栗縣私立翰林文理短期補習班,453,,文理類,苗栗縣竹南鎮中華里17鄰環市路2段95號2-3F,2012-02-16
苗栗縣政府,苗栗縣私立巧聯文理技藝短期補習班,153,zeroehuang@gmail.com,文理類,苗栗縣頭份市民族里東民路85號1-3樓,2007-12-19
苗栗縣政府,苗栗縣私立夏禾文理短期補習班,125,learningseed469779@gmail.com,文理類,苗栗縣竹南鎮中華里15鄰萬大街22號2樓,2007-07-06
苗栗縣政府,苗栗縣私立耶魯外語文理短期補習班,398,mlyale888@yahoo.com.tw,外語類,苗栗縣苗栗市縣府路152號1-3F,2013-05-28
苗栗縣政府,苗栗縣私立WE文理短期補習班,,wisdomenglish60@gmail.com,文理類,苗栗縣竹南鎮延平路60號2樓,2020-12-07
苗栗縣政府,苗栗縣私立蒲公英珠心算技藝短期補習班,,,商類：珠算、心算、會計,苗栗縣苗栗市文山里13鄰祥發路48號,1998-01-05
苗栗縣政府,苗栗縣私立易威文理短期補習班,,stephen356357@gmail.com,文理類,苗栗縣苗栗市建功里饒平街26號3樓,2020-12-01
苗栗縣政府,苗栗縣私立士昌文理短期補習班,128,yeanch126@gmail.com,文理類,苗栗縣竹南鎮大業街126號1-2F,2007-07-20
苗栗縣政府,苗栗縣私立瑞斯英語文理短期補習班,,,文理類,苗栗市苗栗縣苗栗市正發路33號1-2樓,2021-01-19
苗栗縣政府,萬德福國際有限公司附設苗栗縣私立奇陞文理短期補習班,208,qqamandalin@hotmail.com,外語類,苗栗縣竹南鎮中港里12鄰香山厝76之5號1-4F,2009-03-20
苗栗縣政府,萬德福國際有限公司附設苗栗縣私立奇芯文理短期補習班,,,文理類,苗栗縣竹南鎮大營路33號1-5樓,2020-03-24
苗栗縣政府,苗栗縣私立高昇文理短期補習班,320,,文理類,苗栗縣頭份市建國里11鄰建國路110號2F,2011-10-24
