地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
新竹市政府,新竹市私立小紅帽短期文理補習班,文1284號,,文理類,新竹市建美路3號1-2樓,2021-04-08
新竹市政府,部落森數位文創有限公司附設新竹市私立部落森文理短期補習班,文1285號(換),,文理類,新竹市東南街139號2-4樓,1998-11-20
新竹市政府,新竹市私立金剛熊文理短期補習班湳雅分校,文1255號(換),ianchenyp@hotmail.com,文理類,新竹市湳雅街180號1-3樓,2008-04-01
新竹市政府,新竹市私立聯合文理短期補習班,三號,uf5269516@gmail.com,文理類,新竹市東門街34巷3號1之4樓,1989-04-22
新竹市政府,新竹市私立傑尼爾短期補習班,"文107  文309(換)",,文理類,新竹市香北路250號1至4樓,1997-10-07
新竹市政府,新竹市私立天才兒童美語短期補習班,文376號,,外語類,新竹市湳雅街184號1-3樓,2006-06-30
新竹市政府,百世教育科技股份有限公司附設新竹市私立百世技藝文理短期補習班,文1280,,文理類,新竹市關東路147號1樓及2樓,2021-03-22
新竹市政府,新竹市私立恆典文理短期補習班,文1273號,alvis.alvis@msa.hinet.net,文理類,新竹市新竹市光華北街57號1-4樓,2021-02-20
新竹市政府,臺師菁英文教事業股份有限公司附設新竹市私立臺師2號文理短期補習班,文1228號(換),,文理類,新竹市光復路一段485巷6弄12、16號1-2樓,2003-08-19
新竹市政府,新竹市私立嘉德琳世傑文理短期補習班,"文1283號 (換)",europe1006@gmail.com,文理類,新竹市世傑路230號2樓,2015-01-21
新竹市政府,新竹市私立旭峯東南文理短期補習班,文1282號(換),,文理類,新竹市東南街271號1樓至2樓,2012-11-09
新竹市政府,新竹市私立立晟文理短期補習班,文477號,,文理類,新竹市中華路6段205巷74號1-3樓,2007-09-26
新竹市政府,新竹市私立康乃爾外語中心短期補習班,文171號,,外語類,新竹市中華路二段316號1樓至2樓,2001-04-03
新竹市政府,新竹市私立慈愛文理短期補習班,文890號,herng7719@yahoo.com.tw,文理類,新竹市中華路六段226巷6弄20號1樓至4樓,2014-09-15
新竹市政府,新竹市私立嘉因文理短期補習班,文1281號(換),bb097@joy.com.tw,文理類,新竹市民族路265號1、2樓及閣樓；民族路269號2樓、3樓,2010-07-08
新竹市政府,新竹市私立聯成電腦短期補習班,文1278號（換）,,資訊類,新竹市中華路二段318號1-3樓,2005-02-21
新竹市政府,新竹市私立向日葵丫丫英語短期補習班,文1048(換),,外語類,新竹市福德街43號1樓至4樓,2013-02-08
