地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
新竹縣政府,私立韓老師文理短期補習班,247,mhz2000@gmail.com,文理類,竹東鎮東峰路266號1.2樓,2009-07-15
新竹縣政府,新竹縣私立育澤文理短期補習班,583,,文理類,竹北市嘉豐五路一段176號1-2樓,2021-04-19
新竹縣政府,北美國際文教股份有限公司附設新竹縣私立北美語文文理短期補習班短期補習班,581,,文理類,竹北市縣政11街71號2樓,2021-03-08
新竹縣政府,新竹縣私立育英文理短期補習班,434,,文理類,"新竹縣竹北市嘉豐十一路二段50號1至2 樓及新竹縣竹北市六家五路二段61號1樓",2015-09-08
新竹縣政府,私立佳欣文理短期補習班,195,,文理類,湖口鄉明德街310號2樓,2007-08-17
新竹縣政府,私立佳仁美語才藝短期補習班,14,,外語類,新竹縣關西鎮中興路12號2樓,1993-03-05
新竹縣政府,新竹縣私立靜川日語短期補習班,177,nihongo@sizugawa.com.tw,外語類,竹北市莊敬六街88號2樓,2006-11-22
新竹縣政府,新竹縣私立瀚鐸文理短期補習班,552,,文理類,竹北市復興三路1段157號3~4樓,2020-03-31
新竹縣政府,新竹縣私立華盛頓文理短期補習班,522,Karen693084@gmail.com,文理類,竹東鎮自強路28號1-2樓,2019-04-15
新竹縣政府,新竹縣私立維育美語文理技藝短期補習班,437,,文理類,竹北市光明六路東二段228號4樓,2015-09-08
新竹縣政府,新竹縣私立晟峰文教文理短期補習班,582,Summiting222@gmail.com,文理類,竹北市莊敬北路222號1-2樓,2021-03-31
新竹縣政府,新竹縣私立壹寶貝韻律舞蹈才藝短期補習班,575,,文理類,竹北市勝利11路65號2-3樓,2020-12-01
新竹縣政府,新竹縣私立嘉德琳才藝美語短期補習班,427,,外語類,竹北市勝利二路36號1樓,2015-07-16
新竹縣政府,"新竹縣私立諾亞文理短期補習班 ",530,,文理類,竹北市勝利二路73號1-2樓,2019-08-06
新竹縣政府,新竹縣私立育仁文理短期補習班,490,,文理類,新竹縣竹北市復興三路一段193號、195號1樓,2018-03-12
新竹縣政府,新竹縣私立邱傅老師文理短期補習班,295,,文理類,新竹縣新埔鎮中正路192號1-2樓,2010-09-17
新竹縣政府,新竹縣私立欣法文理短期補習班,521,smartfisher1969@yahoo.com.tw,文理類,竹北市嘉豐七街149號1~2樓,2019-04-09
新竹縣政府,新竹縣私立茉立斯文理短期補習班短期補習班,579,,文理類,竹東鎮興農街133號1-2樓,2021-02-02
新竹縣政府,新竹縣私立莘一文理短期補習班,99,tbuabsas@gmail.com,文理類,新埔鎮中正路295號1樓,2003-09-09
新竹縣政府,新竹縣私立方舟文理短期補習班,580,,文理類,竹北市新國街110號1-2樓,2021-02-23
新竹縣政府,新竹縣私立小熊文理短期補習班,570,,文理類,寶山鄉寶新路一段128號1樓,2020-09-08
新竹縣政府,新竹縣私立弘國文理短期補習班,311,,文理類,竹北市嘉豐五路一段178號1-2樓,2011-04-26
新竹縣政府,新竹縣私立英語花園文理短期補習班,415,,文理類,竹北市嘉豐五路二段101號1至5樓,2014-12-01
新竹縣政府,逸果文化事業股份有限公司附設新竹縣私立逸果美語文理短期補習班,442,olivia.lin@eagletw.com,外語類,竹北市光明六路東一段166、168、180、182號1-2F,2016-03-15
新竹縣政府,新竹縣私立上恩文理短期補習班,571,,文理類,關西鎮北平路88號1-2樓,2020-09-18
新竹縣政府,新竹縣私立小瓏英語短期補習班,384,cloudece91g@yahoo.com.tw,外語類,新竹縣竹北市成功五街38號1至2樓,2013-11-27
新竹縣政府,新竹縣私立傑瑞米短期補習班,393,lauren19940412@gmail.com,文理類,新竹縣竹北市光明九路176號1樓,2014-03-14
