代號,補習班,班址,電話,立案文號,立案日期
37202408130001,苗栗縣私立鴻逸教育文理短期補習班,苗栗縣竹南鎮照南路102號1-2樓,0978016377,府教社字第1130174159號,2024-08-13
37202406200001,苗栗縣私立智慧樹技藝文理短期補習班,苗栗縣通霄鎮通東里3鄰忠孝路4巷2號1-2樓,0933-261012,府教社字第1130129988號,2024-06-19
37202404090001,苗栗縣私立竹軒技藝短期補習班,苗栗縣苗栗市文山里正發路221號1樓,(037)368120,府教社字第1130071868號,2024-04-08
37202403250001,苗栗縣私立小荳荳文理技藝短期補習班后庄分班,苗栗縣頭份市文化街37號1-2樓,(037)590252,府教社字第1130062426號,2024-03-25
37202403050001,苗栗縣私立金星教育文理短期補習班,苗栗縣頭份市大同路146號1樓,0980069281,府教社字第1130046816號,2024-03-05
37202402270001,苗栗縣私立紅人奕禾才藝文理短期補習班,苗栗縣竹南鎮竹南里13鄰民治街86號1樓,0938262868,府教社字第1130042554號,2024-02-27
37202402260001,苗栗縣私立格林文理短期補習班,苗栗縣頭份市大興街31號3樓,(037)669865,府教社字第1130040456號,2024-02-23
37202402170001,苗栗縣私立博丞文理短期補習班,苗栗縣竹南鎮環市路三段86號2樓,(037)464518,府教社字第1130034084號,2024-02-16
37202402150001,苗栗縣私立迪仕尼文理短期補習班,苗栗縣苗栗市玉華里1鄰玉清街4號2樓,(037)320002,府教社字第1130030911號,2024-02-06
37202401250001,苗栗縣私立大樹文理短期補習班,苗栗縣頭份市昌隆一街290號,(037)690031,府教社字第1130021245號,2024-01-25
37202401030001,苗栗縣私立誠曜文理技藝短期補習班,苗栗縣苗栗市北苗里蕉嶺街19鄰17巷8號1-2樓,(037)360275,府教社字第1130001644號,2024-01-03
37202311280001,苗栗縣私立雨豆文理技藝短期補習班,苗栗縣頭份市昌隆一街282號1樓,(037)636892,府教社字第1120265421號,2023-11-28
37202311280002,苗栗縣私立樂享文理技藝短期補習班,苗栗縣頭份市昌隆一街286號1樓,(037)636892,府教社字第1120265536號,2023-11-28
37202308170001,苗栗縣私立澳森堡文理短期補習班,苗栗縣苗栗市中山路209號1-2樓,(037)360968,府教社字第1120188041號,2023-08-17
37202308150001,苗栗縣私立伊頓文理技藝短期補習班平新分校,苗栗縣通霄鎮平新一路58號1樓,0928005807,府教社字第1120185587號,2023-08-15
37202302090001,苗栗縣私立廣學文理技藝短期補習班,苗栗縣頭份市信義路424之2號1樓,(037)670085,府教社字第1120043784號,2023-02-09
37202212230001,苗栗縣私立欣欣文理短期補習班,苗栗縣頭份市信東路316號1樓,(037)592175,府教社字第1110246828號,2022-12-23
37202211180001,苗栗縣私立拉曼文理短期補習班,苗栗縣頭份市信中路1號1-4樓,(037)622355,府教社字第1110221527號,2022-11-18
37202210240002,苗栗縣私立樂童教育文理短期補習班,苗栗縣頭份市育英街19巷7號1-2樓,(037)597090,府教社字第1110203261號,2022-10-24
37202210240001,苗栗縣私立探索國際村文理短期補習班,苗栗縣苗栗市文山里24鄰正發路208號1樓,(037)368831,府教社字第1110202751號,2022-10-24
37202206210002,苗栗縣私立特色文教文理短期補習班,苗栗縣苗栗市文山里16鄰正發路177巷50號1-3樓,0920-829161,府教社字第1110115794號,2022-06-20
37202205260001,苗栗縣私立薇風文理短期補習班,苗栗縣頭份市頭份里12鄰中正路342號1樓,(037)591133,府教社字第1110099209號,2022-05-25
37202205230001,苗栗縣私立知新學苑文理短期補習班,苗栗縣頭份市昌隆一街25號1樓,(037)695564,府教社字第1110097165號,2022-05-23
37202205020001,萬德福國際有限公司附設苗栗縣私立奇毅文理短期補習班,苗栗縣頭份市文化里6鄰文化街49號1-3樓,037-551437,府教社字第1110080979號,2022-04-29
37202202070001,苗栗縣私立冠群文理短期補習班,苗栗縣頭份市三民街88號,0935203905,府教社字第1110022575號,2022-02-07
37202201100001,苗栗縣私立在勝文理短期補習班,苗栗縣通霄鎮崇仁路11號1樓,0973801800,府教社字第1110005472號,2022-01-07
37202112220001,苗栗縣私立鍾碩數理文理短期補習班自治分班,苗栗縣苗栗市文山里16鄰自治路358號1樓,(037)377396,府教社字第1100244221號,2021-12-21
37202112060001,苗栗縣私立文昌思考教育文理短期補習班,苗栗縣竹南鎮大營路101號1樓,(037)688846,府教社字第1100233181號,2021-12-06
37202111090001,苗栗縣私立科堤文理短期補習班,苗栗縣頭份市成功里忠孝一路314號1樓,037-686341,府教社字第1100215387號,2021-11-09
37202110270001,苗栗縣私立楊明哲璦美語聯盟文理短期補習班,苗栗縣苗栗市建功里33鄰大埔街43號1樓,0937475757,府教社字第1100205678號,2021-10-27
37202109110001,苗栗縣私立芝麻村文理短期補習班,苗栗縣頭份市翠亨路138號,(037)670227,府教社字第1100175092號,2021-09-11
37202108060001,苗栗縣私立葛萊芬多雙語科學實作教育文理短期補習班,苗栗縣竹南鎮佳興里環市路三段480號1-2樓,(037)480198,府教社字第1100148873號,2021-08-06
37202107190001,苗栗縣私立教詳文理技藝短期補習班,苗栗縣苗栗市建功里6鄰中正路204號2樓,(037)366652,府教社字第1100134145號,2021-07-19
37202107160001,苗栗縣私立好好共學文理技藝短期補習班,苗栗縣頭份市文化街7號1-4樓,(037)592615,府教社字第1100134144號,2021-07-16
37202107130001,苗栗縣私立愛卡爾文理短期補習班,苗栗縣頭份市文化里11鄰文化街68號1-2樓,0935-226667,府教社字第1100131468號,2021-07-13
37202107090001,苗栗縣私立采玥文理技藝短期補習班,苗栗縣竹南鎮立達街116號1樓,(037)552995,府教社字第1100127424號,2021-07-07
37202105190001,苗栗縣私立慧朋文理短期補習班,苗栗縣苑裡鎮客庄里世界路一段14鄰91-18號1-2樓,(037)866536,府教社字第1100095748號,2021-05-19
37202105120003,苗栗縣私立辰功教育機構文理短期補習班,苗栗縣頭份市中央路92號,(037)680099,府教社字第1100089594號,2021-05-11
37202105120002,苗栗縣私立紅豆文理技藝短期補習班,苗栗縣頭份市中興里建國路二段306號1樓,(037)695022,府教社字第1100089636號,2021-05-11
37202104150001,苗栗縣私立小荳荳文理技藝短期補習班新南分班,苗栗縣竹南鎮新南里22鄰新南街126號1-2樓,(037)611388,府教社字第1100070416號,2021-04-15
37202103140001,苗栗縣私立泰龍文理短期補習班,苗栗縣頭份市蟠桃里7鄰華美街18號1-2樓,0953825218,府教社字第1100048496號,2021-03-14
37202101200001,苗栗縣私立瑞斯英語文理短期補習班,苗栗市苗栗縣苗栗市正發路33號1-2樓,(037)377770,府教社字第1100013623號,2021-01-19
37202012070001,苗栗縣私立地球村出版有限公司附設苗栗縣私立地球村文理短期補習班竹南分班,苗栗縣竹南鎮中山路123號1-3樓,(037)551756,府教社字第1091326347號,2020-12-07
37202012070002,苗栗縣私立WE文理短期補習班,苗栗縣竹南鎮延平路60號2樓,(037)550533,府教社字第1091326360號,2020-12-07
37202012010001,苗栗縣私立易威文理短期補習班,苗栗縣苗栗市建功里饒平街26號3樓,(037)356357,府教社字第1091322014號,2020-12-01
37202011100001,苗栗縣私立樂天文理短期補習班,苗栗縣頭份市德義路65號1樓,(037)664241,府教社字第1091306106號,2020-11-09
37202008240001,苗栗縣私立蘋果樹教育文理短期補習班,苗栗縣頭份市大同路281號,(037)663550,府教社字第1090167388號,2020-08-21
37202007100001,苗栗縣私立大數文理短期補習班,苗栗縣苗栗市長安街99號1樓,0932286823,府教社字第1090136862號,2020-07-10
37202006030001,苗栗縣私立千睿文理短期補習班,苗栗縣苑裡鎮山腳里13鄰山腳358-1號2-3樓,0933331594,府教社字第1090108376號,2020-06-03
37202006030002,苗栗縣私立大業文理短期補習班,苗栗縣竹南鎮大業街72號1-2樓,(037)552900,府教社字第1090108383號,2020-06-02
37202005210001,易群文教事業有限公司附設苗栗縣私立易群文理技藝短期補習班,苗栗縣頭份市建國里6鄰三民街21號1-2樓,(037)663166,府教社字第1090095325號,2020-05-21
37202003240001,萬德福國際有限公司附設苗栗縣私立奇芯文理短期補習班,苗栗縣竹南鎮大營路33號1-5樓,(037)551438,府教社字第1090055420號,2020-03-24
37202003240002,苗栗縣私立奇葳文理短期補習班,苗栗縣頭份市信東路256號1-2樓,(037)696669,府教社字第1090055415號,2020-03-24
37202002170001,苗栗縣私立GE菁英文理短期補習班,苗栗縣苗栗市自治路82巷2號1樓,0912699508,府教社字第1090030049號,2020-02-17
37201910240001,苗栗縣私立永丞文理短期補習班,苗栗縣苗栗市饒平街21號2-3樓,(037)321987,府教社字第1080203952號,2019-10-23
37201910230002,苗栗縣私立嵐林美術技藝短期補習班,苗栗縣苗栗市中正路136號2樓,(037)359798,府教社字第1080203178號,2019-10-22
37201910230001,苗栗縣私立品昇文理短期補習班,苗栗縣頭份市忠孝一路222號1-2樓,(037)668831,府教社字第1080203174號,2019-10-22
37201909240001,苗栗縣私立A++升學中心文理短期補習班,苗栗縣頭份市中央路330號1-2樓,(037)594100,府教社字第1080182005號,2019-09-20
37201907260002,苗栗縣私立杜威文教機構文理短期補習班,苗栗縣頭份市永貞路二段310號2樓,(037)626425,府教社字第1080144357號,2019-07-26
37201907260001,苗栗縣私立文華文理短期補習班,"苗栗縣苗栗市文山里國華路 899號1-3樓",(037)380189,府教社字第1080144893號,2019-07-26
37201907260003,苗栗縣私立富瑞爾文理短期補習班,苗栗縣頭份市中興里9鄰中央路302號1樓,(037)594666,府教社字第1080144355號,2019-07-26
37201905070001,苗栗縣私立木木文理技藝短期補習班,苗栗縣頭份市頭份里中正路233號1樓,037592252,府教社字第1080086356號,2019-05-07
37201904260001,"苗栗縣私立ABC ZONE文理技藝短期補習班",苗栗縣苗栗市建功里6鄰中山路207號,(037)360090,府教社字第1080078826號,2019-04-25
37201904190001,苗栗縣私立鍾碩數理文理短期補習班,苗栗縣苗栗市文山里正發路180號1-2樓,(037)377398,府教社字第1080072993號,2019-04-17
37201904080001,苗栗縣私立群英文理短期補習班,苗栗縣竹南鎮中正路351號1樓,037-551945,府教社字第1080064525號,2019-04-04
37201901080001,苗栗縣私立米吉文理技藝短期補習班,苗栗縣苗栗市福麗里民族路225號,037364943,府教社字第1080004132號,2019-01-07
37201901030001,苗栗縣私立伊頓文理技藝短期補習班,苗栗縣通霄鎮通東里1鄰中正路3之5號1樓,037-759515,府教社字第1080000894號,2019-01-02
37201812190001,苗栗縣私立家緯文理短期補習班,苗栗縣竹南鎮中正路383號,(037)465222,府教社字第1070246810號,2018-12-17
37201811300001,苗栗縣私立泰峰文理短期補習班,苗栗縣後龍鎮大庄里5鄰光華路511號1-3樓,0970-609090,府教社字第1070234931號,2018-11-29
37201811300002,苗栗縣私立必勝文理短期補習班,苗栗縣竹南鎮中港里12鄰守法街2-2號1-4樓,(037)464517,府教社字第1070234922號,2018-11-29
37201811070001,苗栗縣私立非凡文理短期補習班,苗栗縣竹南鎮照南里21鄰自由街129號1樓,(037)483308,府教社字第1070219028號,2018-11-07
37201807130001,苗栗縣私立小羊畫室技藝短期補習班,苗栗市文山里18鄰自治路482號1樓,(037)377729,府教社字第1070136564號,2018-07-13
37201806150001,苗栗縣私立首相文理短期補習班,苗栗縣竹南鎮開元里8鄰下街仔174號1~2樓、175號1~2樓,(037)551749,府教社字第1070115494號,2018-06-15
37201711090001,苗栗縣私立光華文理短期補習班民族分班,苗栗縣苗栗市北安街13號,(037)371230;0910451020,府教社字第1060218730　號,2017-11-09
37201710110001,社團法人中國青年救國團附設苗栗縣私立救國團文理技藝短期補習班(苗栗班),苗栗縣苗栗市中正路382號1樓,(037)322134,府教社字第1060196552號,2017-10-11
37201710020001,苗栗縣私立三義名人文理短期補習班,苗栗縣三義鄉廣盛村15鄰八股路20-72號1-2樓,0919720272、875698,府教社字第1060189946號,2017-09-28
37201709250001,苗栗縣私立光華文理短期補習班,苗栗縣後龍鎮大庄里21鄰光華路390號1-2樓,(037)727459;0910451020,府教社字第1060185306號,2017-09-22
37201708240001,苗栗縣私立流星街文理短期補習班,"苗栗縣苗栗市建功里忠孝路166號A1 166號2樓A2",(037)373785;0937838426,府教社字第1060160577　號,2017-08-18
37201706230001,苗栗縣私立樹人資優文理短期補習班,苗栗縣頭份市中正一路158號1-2樓,037-681873,府教社字第1060117404號,2017-06-21
37201705250001,苗栗縣私立桐樂文理技藝短期補習班,苗栗縣竹南鎮開元里3鄰平等街一段50、52號1樓,(037)550697，0937-183133,府教社字第1060100834號,2017-05-31
37201702080001,苗栗縣私立明昌文理短期補習班,苗栗縣苑裡鎮中正里13鄰中正101之29號1-3樓,"(037)861557, 0911122157",府教社字第1060023713號,2017-02-08
37201612290001,苗栗縣私立劉老師文理短期補習班,苗栗縣通霄鎮平元里12鄰平新一路96號1-3樓,037-750169,府教社字第1050266406號,2016-12-29
37201612080002,苗栗縣私立向陽文理技藝短期補習班,苗栗縣竹南鎮博愛街394號1-4樓/392號(1/3/4)樓,(037)461008,府教社字第1050251754　號,2016-12-08
37201607280001,苗栗縣私立莊鎮文理短期補習班忠孝分班,苗栗縣頭份市忠孝里忠孝二路180號1-2樓,(037)680459,府教社字第1050156103號,2016-07-28
37201604140002,學晨文教顧問股份有限公司附設苗栗縣私立學華文理短期補習班,苗栗縣苗栗市福麗里35鄰北安街18號1樓/苗栗縣苗栗市褔麗里35鄰府前路160巷51弄2號,0926276202,府教社字第1050077828號,2016-04-15
