地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
高雄市政府,私立鼎捷文理短期補習班,1219,ielephant.ie002@gmail.com,文理類,三民區鼎山街215號1-3樓,2007-08-02
高雄市政府,私立好棒棒短期補習班,,,文理類,鳳山區光復二段132號,2020-07-13
高雄市政府,私立徠能文理短期補習班,A581,julialhh@gmail.com,文理類,岡山區竹圍中街78號1樓之3(1-2樓),2007-09-06
高雄市政府,私立蕎麥升學文理短期補習班,992,,文理類,鼓山區大順一路821號1-3樓,1996-11-28
高雄市政府,私立智佳文理短期補習班,A373,brucehsu998@gmail.com,文理類,鳳山區光華東路183號3-4樓,2005-01-11
高雄市政府,私立以琳文理技藝短期補習班,1115,lee.vi5519@msa.hinet.net,文理類,楠梓區慶昌街57號1-2樓,2006-06-29
高雄市政府,財團法人福智文教基金會附設高雄市私立培德文理技藝短期補習班,1133,kevin07200720@gmail.com,文理類,楠梓區慶昌街72巷10號1-4樓,2006-09-04
高雄市政府,私立名恒文理短期補習班,1714,lv468923@gmail.com,文理類,林園區仁愛路176號1-2樓,2014-11-17
高雄市政府,私立世界村外語短期補習班,B234,,外語類,鳳山區青年路二段10號1-2樓,2004-01-29
高雄市政府,私立喬一文理短期補習班,A401,,文理類,旗山區中山南街183號1-3樓、144號1樓,2005-07-27
高雄市政府,私立東方文理短期補習班,2002,Konweno8006@gmail.com,文理類,林園區王公路56之1號1-2樓,2019-09-26
高雄市政府,私立理學文理短期補習班,1623,gbhpsg@yahoo.com,文理類,林園區仁愛路366巷10弄6號1-2樓,2012-12-25
高雄市政府,私立仁惠文理短期補習班,1739,y3822170@yahoo.com.tw,文理類,林園區仁愛路268巷22號1-3樓,2015-01-19
高雄市政府,私立鼎翰文理短期補習班,1604,paulyu7099@yahoo.com.tw,文理類,林園區仁愛路190號1-3樓,2012-08-14
高雄市政府,私立超群資優文理短期補習班,1688,,文理類,林園區中芸三路25巷44號1-3樓,2014-05-12
高雄市政府,私立小陳專業文理短期補習班,A167,s6422012@yahoo.com.tw,文理類,林園區仁愛路174號1-2樓,2001-07-11
高雄市政府,私立精華文理短期補習班,A396,cbchen0937677763@yahoo.com,文理類,林園區仁愛路366巷10弄10號1-2樓,2005-07-07
