地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
台中市政府,臺中市私立耘夢演藝技藝短期補習班,,fiona@upshow.org,音樂、舞蹈類,臺中市西屯區四川三街31號1-2樓,2020-06-02
台中市政府,臺中市私立鐠林英語數學短期補習班,1322,,外語類,太平區德明路320巷2號1-2樓,2003-09-10
台中市政府,臺中市私立錦揚珠心算短期補習班,k411012,,商類：珠算、心算、會計,太平區長龍路2段80號1-3樓,2002-01-15
台中市政府,私立巨匠電腦短期補習班,e420001,allen.huang@pcschool.com.tw,資訊類,豐原區中正路118號1-5樓,1997-05-21
台中市政府,品辰教育有限公司附設臺中市私立品升文理短期補習班,,ps23720008@gmil.com,文理類,臺中市西區林森路77-4號1-3樓,2015-05-26
台中市政府,臺中市私立國馨美語會話短期補習班,b412042,iamalifromjoy@yahoo.com.tw,外語類,臺中市大里區大明路186號1-3樓、184號1-3樓,2001-04-10
台中市政府,臺中市私立露塔迪珠心算美語短期補習班,1934,,外語類,臺中市太平區中平九街30號1-3樓,2007-06-21
台中市政府,臺中市私立采禾文理技藝短期補習班,,,文理類,臺中市太平區太順路870號1-4樓,2015-05-13
台中市政府,臺中市私立智捷文理短期補習班,,,文理類,臺中市后里區平安路150號1-2樓,2016-12-15
台中市政府,臺中市私立琳達文理短期補習班新光分班,,linda769988@gmail.com,文理類,太平區太順路836號1-3樓,2019-08-27
台中市政府,臺中市私立藝家人文理短期補習班,,,文理類,臺中市太平區新明街59巷17號1-2樓,2021-04-08
台中市政府,臺中市私立西雅圖美語短期補習班,,,外語類,402臺中市南區南昌街55號3樓,2007-06-25
台中市政府,臺中市私立紙風車美術短期補習班,A0796,,美術、書法、攝影、美工設計、圍棋類,402臺中市南區崇倫北街58號1-2樓,2002-07-16
台中市政府,臺中市私立巨林文理短期補習班,A1043,,文理類,402臺中市南區大忠南街218號1-3樓,2003-12-03
台中市政府,臺中市私立聖恩菁英文理短期補習班,,,文理類,臺中市大肚區仁德路81號1-2樓,2020-07-30
台中市政府,臺中市私立田心文理短期補習班,,,文理類,臺中市豐原區育德街95號1樓,2020-11-05
台中市政府,臺中市私立立毅學創文理短期補習班,,,文理類,臺中市豐原區豐東路26-6號1-3樓,2020-12-21
台中市政府,臺中市私立月杉吉綜合文理短期補習班,,,文理類,臺中市南屯區河南路4段334號1-3樓,2021-02-03
台中市政府,臺中市私立菁奇文理短期補習班,,,文理類,臺中市豐原區文昌街147號1-2樓,2021-03-08
台中市政府,臺中市私立錴達文理短期補習班,,,文理類,臺中市潭子區興華一路433號1-2樓,2021-04-07
台中市政府,愛薇教育事業有限公司附設臺中市私立愛薇文理短期補習班,,,文理類,臺中市南屯區公益路二段376號1-2樓,2021-04-21
台中市政府,臺中市私立優多文理短期補習班,,yudo26633088@gmail.com,文理類,臺中市沙鹿區光華路367號1-2樓,2021-03-23
台中市政府,劉氏文教事業股份有限公司附設臺中市私立劉氏文理短期補習班,,,文理類,清水區中華路92號3樓之1,2008-05-06
台中市政府,臺中市私立東亞美容美髮短期補習班,A0500,,美容、美髮理髮類,臺中市中區建國路200號2樓之1,2000-04-05
台中市政府,臺中市私立曜碩文理短期補習班,,,文理類,北區臺中市北區英士路97號(使用樓層:1-3樓),2021-04-21
台中市政府,康爾嘉股份有限公司附設臺中市私立康爾嘉語文資訊舞蹈短期補習班,,,外語類,407臺中市西屯區上安路39巷16號2-4樓,2011-01-21
台中市政府,臺中市私立愛妮妲文理鋼琴美術短期補習班,,jazzenittasun@gmail.com,音樂、舞蹈類,臺中市西區五權西六街169號1-2樓,2016-04-01
台中市政府,臺中市私立音樂王國音樂短期補習班,,a6816069@yahoo.com.tw,音樂、舞蹈類,407臺中市西屯區福科路780號1-2樓,2007-12-21
台中市政府,巨匠電腦股份有限公司附設臺中市私立巨匠美語電腦短期補習班大甲分班,,,外語類,臺中市大甲區文武路2號1樓,2015-04-27
台中市政府,臺中市私立依麒美術短期補習班,,,美術、書法、攝影、美工設計、圍棋類,"407臺中市西屯區福科路533號1-2樓 ",2009-11-12
台中市政府,台灣透客文教有限公司附設臺中市私立透客國際語言短期補習班,,,外語類,台中市西區臺灣大道二段335號1-2樓,2021-03-15
台中市政府,臺中市私立莎比士亞美語短期補習班,1513,,外語類,臺中市大里區新南路211號1-3樓、213號1-2樓,2005-01-21
台中市政府,臺中市私立主人翁珠心算短期補習班,,yphuang0605@hotmail.com,商類：珠算、心算、會計,401台中市東區進化路217號1~2樓,2002-05-10
台中市政府,私立惠文鼎文理短期補習班,,,文理類,408台中市南屯區公益路2段318號1-4樓,2003-11-13
台中市政府,愛格特有限公司附設臺中市私立愛格特英語短期補習班賴厝分班,,tc13.shane@gmail.com,外語類,台中市北區梅川西路三段11號1-3樓,2011-09-13
台中市政府,臺中市私立迦音英語短期補習班,b414002,,文理類,烏日區中山路1段308號1-4樓及316號1-4樓,1996-04-16
台中市政府,臺中市私立育儒文理短期補習班,A0794,11021127@yahoo.com.tw,文理類,臺中市西屯區中工三路285號1-2樓,2002-07-10
