地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
南投縣政府,私立向日葵文理短期補習班,d034,sunflower2635188@yahoo.com.tw,外語類,竹山鎮中山里自強路83之7號2-3樓,2007-07-12
南投縣政府,私立湯姆文理短期補習班,,,文理類,竹山鎮集山路三段702號1-2樓,2020-08-25
南投縣政府,私立大學仕文理短期補習班,d024,,文理類,竹山鎮中山里新和街49號1-3樓,2006-07-21
南投縣政府,私立大航海文理短期補習班,h006,,文理類,水里鄉南光村中山路1段286號1-3樓,2007-07-20
南投縣政府,私立典傳文理短期補習班,b053,,文理類,埔里鎮北安里中華路216號2樓,2006-10-16
南投縣政府,私立學風文理短期補習班,c035,angel27.tseng@gmail.com,文理類,草屯鎮炎峰街127號1-2樓,2001-09-11
南投縣政府,私立高飛文理短期補習班,c099,gaofei2323258@gmail.com,文理類,草屯鎮炎峰街14-1號1-2樓,2012-07-24
南投縣政府,私立宣音美語短期補習班,f008,BC068@joy.com.tw,外語類,名間鄉彰南路1之6號2樓,2006-01-27
南投縣政府,私立資優文理短期補習班,f010,mina.jack@msa.hinet.net,文理類,名間鄉南雅街131巷17號1-4樓,2007-05-16
南投縣政府,私立救國團南投縣團委會附設技藝語文短期補習班,a048,cycntutc@ms14.hinet.net,文理類,南投市大同南街31號1-2樓,1997-07-22
南投縣政府,私立救國團南投縣團委會草屯區附設技藝語文短期補習班,c074,,外語類,草屯鎮中正路601-7號5樓,2008-08-12
南投縣政府,私立李靜枝舞蹈短期補習班,a022,ta396242@yahoo.com.tw,音樂、舞蹈類,南投市大同街34巷5號1樓,1997-07-22
南投縣政府,南投縣私立永倫文理短期補習班,,,文理類,埔里鎮北環路196號1-2樓,2021-03-15
南投縣政府,私立愛迪生文理短期補習班,d018,ade557@yahoo.com.tw,文理類,竹山鎮集山路3段710號2-3樓,2005-08-16
南投縣政府,南投縣私立特斯拉文理短期補習班,,,文理類,埔里鎮南興街3-5號1-2樓,2020-11-30
南投縣政府,私立正學文理短期補習班,,stylearning@gmail.com,文理類,南投市光明南路112號1-3樓,2014-11-24
南投縣政府,私立依德文理短期補習班,a035,eden.school@msa.hinet.net,文理類,南投市文昌街99號1樓,2000-10-27
南投縣政府,私立民傳文理短期補習班,i001,"wthg@ms59 hinet.net",文理類,魚池鄉魚池街334巷4號1-3樓,2000-01-07
南投縣政府,私立立人文理短期補習班,b006,,文理類,南投縣埔里鎮西安路一段144號1-2樓,1994-08-22
南投縣政府,私立喬智文理短期補習班,d036,guntarget01@yahoo.com.tw,文理類,竹山鎮集山路二段1224號1-2樓,2008-11-20
南投縣政府,私立伊勵特美語短期補習班,a082,cba7642@yahoo.com.tw,外語類,南投市南陽路177號1-2樓,2006-12-19
南投縣政府,私立林老師文理短期補習班,a096,,文理類,南投市彰南路2段122號2樓,2008-11-13
南投縣政府,私立開莘文理短期補習班,a107,seven-25@yahoo.com.tw,文理類,南投市光明南路78號1-2樓,2011-01-21
南投縣政府,私立富森文理短期補習班,,bc080@joy.com.tw,文理類,南投市信義街135號1-3樓,2020-05-15
南投縣政府,私立佳鑫文理短期補習班,,bc040@joy.com.tw,文理類,南投市中興路一街12號1-5樓,2015-07-22
南投縣政府,南投縣私立博克萊圓環校文理短期補習班,c023,mrwanganita@hotmail.com,外語類,草屯鎮炎峰街2-5號1-3樓,1999-07-16
南投縣政府,私立瑪仕特文理短期補習班,,s9007043@gmail.com,文理類,南投縣竹山鎮延和里和育巷337號1樓、339號1樓,2017-11-01
南投縣政府,南投縣私立佳培文理短期補習班,,a0972372966@gmail.com,文理類,草屯鎮和興一街13號1-2樓,2020-05-21
南投縣政府,南投縣私立翼躍英語文理短期補習班,,"sunsweet779@me.com / tracy.wei1205@gmail.com",文理類,草屯鎮和興一街5號1-2樓,2017-08-25
南投縣政府,私立立揚文理短期補習班,C050,li.li94411@msa.hinet.net,文理類,南投縣草屯鎮富頂路一段166號2-3樓、158號1-3樓,2005-04-11
南投縣政府,私立達程文理短期補習班,h007,dacheng255@gmail.com,文理類,水里鄉八德街255號1-2樓,2009-06-06
南投縣政府,私立耕讀園文理短期補習班,,a0921729033@yahoo.com.tw,文理類,草屯鎮虎山路648巷14弄11號1樓,2017-08-21
南投縣政府,私立精英文理短期補習班,b071,,文理類,埔里鎮中山路三段224號2樓,2017-09-15
南投縣政府,私立摩根美語文理短期補習班,a052,,外語類,南投市民族路21號1-3樓,2002-08-29
南投縣政府,私立文心作文繪畫短期補習班,c009,Yuan.Lan@msa.hinet.net,美術、書法、攝影、美工設計、圍棋類,草屯鎮炎峰里育英街67號1-3樓,1988-10-03
南投縣政府,私立李德文理短期補習班,c080,leonson588@yahoo.com.tw,文理類,草屯鎮信義街169號1-2樓,2009-02-16
南投縣政府,私立遠筧文理短期補習班,,,文理類,南投市光明南路61號1-3樓,2015-01-12
南投縣政府,南投縣基督教青年會附設私立外語(英日)短期補習班,c002,ymca_center@nantou-ymca.org.tw,外語類,草屯鎮炎峰里炎峰街2-4號1-3樓,2000-05-09
南投縣政府,私立蕭老師繪畫短期補習班,a073,,美術、書法、攝影、美工設計、圍棋類,南投市復興路756號1-2樓,2005-11-10
南投縣政府,私立文新文理技藝短期補習班,b058,cjasmine0517@yahoo.com.tw,文理類,埔里鎮樹人二街83號1-3樓,2007-03-07
南投縣政府,私立陳老師文理短期補習班,a029,tony610626@yahoo.com.tw,文理類,南投市玉井街66-1號2-3樓,2004-12-09
南投縣政府,私立吉佑文理短期補習班,D019,m120647203@yahoo.com.tw,文理類,竹山鎮大和街116號1-3樓,2005-09-05
南投縣政府,私立巧姿舞蹈短期補習班,d012,ny2@seed.net.tw,音樂、舞蹈類,竹山鎮建國路624號2樓,2003-09-03
南投縣政府,私立雙圓文理短期補習班,d024,,文理類,竹山鎮建國路66號1-3樓,2006-08-25
南投縣政府,私立優加文理短期補習班,A116,s988311949@gmail.com,文理類,南投市南陽路175號1-2樓,2016-01-07
南投縣政府,私立希望種子文理短期補習班,d023,lovehosc@yahoo.com.tw,文理類,竹山鎮大義街116號1-2樓,2006-07-10
南投縣政府,私立多加英語會話作文短期補習班,a046,stephen.dorcas@gmail.com,外語類,南投市復興路101號4樓,1996-01-15
南投縣政府,私立飛揚文理短期補習班,,,文理類,南投市仁義南路61號1-2樓,2019-07-29
南投縣政府,私立梅根尼美語短期補習班,c069,,外語類,草屯鎮新生路410號1-3樓,2007-03-30
南投縣政府,私立鈺汝文理技藝短期補習班,d035,,商類：珠算、心算、會計,竹山鎮埔頭街33號1-3樓,2007-08-10
南投縣政府,私立孟坊美術短期補習班,a055,mo-shyan@yahoo.Com.Tw,美術、書法、攝影、美工設計、圍棋類,南投市3和1路64號1-2樓,2003-02-07
南投縣政府,南投縣大鴻海文化有限公司附設私立大東海法商短期補習班,C060,,法政類,草屯鎮中正路704號2-4樓,2006-05-19
南投縣政府,私立蘋果屋技藝短期補習班,a060,,音樂、舞蹈類,南投市民生街67-1號1-2樓,2003-12-15
南投縣政府,私立學廬文理短期補習班,a011,"shyue liu@msa.hinet.net",文理類,南投市三興里南崗一路55巷36號1樓,2000-06-26
南投縣政府,私立喬心文理短期補習班,a102,m0931676852@yahoo.com.tw,文理類,南投市大同街1巷12弄23號,2010-03-26
南投縣政府,私立大育文理短期補習班,a085,,文理類,南投市大庄路107號1-3樓,2007-04-09
南投縣政府,私立贏家文理短期補習班,,,文理類,南投市文化南路81巷5號1-2樓,2019-08-29
