代號,補習班,班址,電話,立案文號,立案日期
21202104220004,私立芯豐文理技藝短期補習班,新莊區榮華路2段18號(1、2樓),8521-3661,1100386073,2021-04-23
21202104220003,私立新學耀文理技藝短期補習班,新莊區中港路145號1、2樓,2277-5272,1100386071,2021-04-23
21202104220002,私立加百列文理短期補習班,林口區文化一路1段39號4樓,2600-9602,1100467416,2021-04-23
21202104220001,私立奇濼文理技藝短期補習班,三峽區學成路157號(1樓及夾層),8672-0611,1100546094,2021-04-22
21202104200001,私立張立數學文理短期補習班,永和區永和路2段147號4樓之2、4樓之3,2920-7700,1100631207,2021-04-20
21202104170001,私立自立文理短期補習班,新莊區自立街85號(1樓),2994-0005,1100568871,2021-04-19
21202104110002,私立笛妮亞文理短期補習班,土城區中央路2段191號6樓、7樓之1,2263-7395,1100568870,2021-04-12
21202104110003,私立張豪文理短期補習班,三重區集賢路1號1樓,2857-1028,1100488142,2021-04-12
21202104110001,私立億果文理短期補習班,林口區仁愛路2段309號(1、2樓),2608-9507,1100504393,2021-04-12
21202103300001,私立艾米莉文理技藝短期補習班,新莊區中平路398號2樓,,1100359911,2021-03-31
21202103250003,私立睿林教育文理短期補習班,蘆洲區長安街240號4樓,,1100378146,2021-03-26
21202103250002,私立微新文理短期補習班,淡水區真理街4之5號1、2樓,2625-0777,1100386064,2021-03-26
21202103250001,私立崇德文理短期補習班,中和區興南路1段20之4號(1樓),2940-9664,1100386068,2021-03-25
21202103230004,私立高明一對一學習有限公司附設高霖文理短期補習班,林口區仁愛路2段200號(1樓),,1100370567,2021-03-24
21202103230003,私立板林語文文理短期補習班,板橋區溪北路90號(1、2、3樓),2233-1505,1100377929,2021-03-23
21202104220004,私立芯豐文理技藝短期補習班,新莊區榮華路2段18號(1、2樓),8521-3661,1100386073,2021-04-23
21202104220003,私立新學耀文理技藝短期補習班,新莊區中港路145號1、2樓,2277-5272,1100386071,2021-04-23
21202104220002,私立加百列文理短期補習班,林口區文化一路1段39號4樓,2600-9602,1100467416,2021-04-23
21202104220001,私立奇濼文理技藝短期補習班,三峽區學成路157號(1樓及夾層),8672-0611,1100546094,2021-04-22
21202104200001,私立張立數學文理短期補習班,永和區永和路2段147號4樓之2、4樓之3,2920-7700,1100631207,2021-04-20
21202104170001,私立自立文理短期補習班,新莊區自立街85號(1樓),2994-0005,1100568871,2021-04-19
21202104110002,私立笛妮亞文理短期補習班,土城區中央路2段191號6樓、7樓之1,2263-7395,1100568870,2021-04-12
21202104110003,私立張豪文理短期補習班,三重區集賢路1號1樓,2857-1028,1100488142,2021-04-12
21202104110001,私立億果文理短期補習班,林口區仁愛路2段309號(1、2樓),2608-9507,1100504393,2021-04-12
21202103300001,私立艾米莉文理技藝短期補習班,新莊區中平路398號2樓,,1100359911,2021-03-31
21202103250003,私立睿林教育文理短期補習班,蘆洲區長安街240號4樓,,1100378146,2021-03-26
21202103250002,私立微新文理短期補習班,淡水區真理街4之5號1、2樓,2625-0777,1100386064,2021-03-26
21202103250001,私立崇德文理短期補習班,中和區興南路1段20之4號(1樓),2940-9664,1100386068,2021-03-25
21202103230004,私立高明一對一學習有限公司附設高霖文理短期補習班,林口區仁愛路2段200號(1樓),,1100370567,2021-03-24
21202103230003,私立板林語文文理短期補習班,板橋區溪北路90號(1、2、3樓),2233-1505,1100377929,2021-03-23
