地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
彰化縣政府,私立上文文理短期補習班,a203,,文理類,員林市中山南路151號1.2.3樓,2001-11-06
彰化縣政府,私立群勝美語短期補習班,b235,47020ch@giraffe.com.tw,外語類,和美鎮仁安路163號2、3、4樓,2002-02-26
彰化縣政府,私立東亞插花短期補習班,j101,tongya@libra.seed.net.tw,家政、插花、烹飪類,員林市中正路528巷12號,1988-01-01
彰化縣政府,私立瀚文數學短期補習班,,,文理類,花壇鄉學前路77號1.2樓,2012-10-22
彰化縣政府,私立東大機電短期補習班,d102,dong.da510@yahoo.com.tw,電機、汽車修護、建築、工藝、製圖類,員林市莒光路60號1、2樓,1999-09-11
彰化縣政府,彰化縣私立泰安文理短期補習班,,,文理類,彰化市泰安二街132號1-4樓,2018-09-07
彰化縣政府,彰化縣私立三民文理短期補習班,,,文理類,彰化市長壽街181號1、2樓,2016-06-30
彰化縣政府,彰化縣私立好未來文理短期補習班,,,文理類,彰化市建國東路31號1、2樓,2021-04-01
彰化縣政府,私立嘉英英語會話短期補習班,b132,,外語類,永靖鄉開明路15號1.2樓,1996-02-29
彰化縣政府,彰化縣私立績優泰和文理短期補習班,,,文理類,彰化市學前街25號1-3樓,2019-06-18
彰化縣政府,彰化縣私立冠霖文理短期補習班,,,文理類,員林市大同路一段179號1.2樓,2007-08-10
彰化縣政府,彰化縣私立貝兒熊文理短期補習班,,,文理類,員林市法院街88號1、2樓,2018-08-31
彰化縣政府,私立耶魯文理短期補習班,,,文理類,員林市大同路1段228號1.2樓,2007-09-13
彰化縣政府,彰化縣私立鼎烽科學技藝文理短期補習班,,,文理類,員林市三民東街218號1、2樓,2021-03-24
彰化縣政府,彰化縣私立全壹文理短期補習班,,chuanyi.111@gmail.com,文理類,彰化縣員林市大仁街19號1、2樓,2014-06-12
彰化縣政府,私立建志文理短期補習班,,en1024@ms28.hinet.net,文理類,花壇鄉成功街208巷11號1-2樓,2004-10-27
彰化縣政府,彰化縣私立鍾老師珠心算文理短期補習班,,,文理類,員林市三多里永安街211號1樓,2021-02-08
彰化縣政府,彰化縣私立溫馨學苑短期補習班,,sss8725855@gmail.com,文理類,社頭鄉三民路145號1、2樓,2021-02-22
彰化縣政府,彰化縣私立喬英文理短期補習班,,cindy28163@hotmail.com,外語類,社頭鄉社頭村忠孝三路18號1.2樓,2002-09-23
彰化縣政府,彰化縣私立云理文理短期補習班,,,文理類,鹿港鎮東興路99號1樓,2021-03-16
彰化縣政府,施毓廷文教事業有限公司附設彰化縣私立家因英語短期補習班,b143,doug78ca@gmail.com,外語類,北斗鎮民族路42之1號1、2、3樓,1997-06-30
彰化縣政府,彰化縣私立大黃文理短期補習班,,,文理類,彰化市中正路二段602巷28號1、2樓,2021-02-25
彰化縣政府,彰化縣私立孔夫子文理短期補習班,,,文理類,鹿港鎮鹿草路二段783巷34弄4號1、2樓,2021-02-25
彰化縣政府,彰化縣私立齊薪文理短期補習班,,,文理類,彰化市南興里雲長路96之3號1、2樓,2021-03-04
彰化縣政府,彰化縣私立文藻人文理短期補習班北斗分班,,,文理類,北斗鎮光復里光復路340號1、2樓,2021-03-08
彰化縣政府,彰化縣私立想讀英語短期補習班,,,外語類,溪湖鎮太平里西環路493號1、2樓,2021-03-09
彰化縣政府,彰化縣私立育群文理短期補習班花壇分班,,,文理類,花壇鄉學前路71號1、2、3樓,2021-03-11
彰化縣政府,彰化縣私立高群文理短期補習班,,,文理類,北斗鎮元市街18號1、2樓,2021-03-09
彰化縣政府,彰化縣私立新高分文理短期補習班,,,文理類,彰化市民族路253巷130號1、2樓,2018-05-21
彰化縣政府,私立劉皓文理短期補習班,,,文理類,彰化縣彰化市中正路二段487號1、2樓,2008-07-01
彰化縣政府,百世教育科技股份有限公司附設彰化縣私立百世文理短期補習班,,,文理類,彰化市民族路170號1.2.3.4樓,2011-01-19
彰化縣政府,百世教育科技股份有限公司附設彰化縣私立百仕文理短期補習班,,,文理類,員林市正興街6號1.2.3樓,2010-07-21
彰化縣政府,彰化縣私立金台大文理短期補習班,,,文理類,二林鎮斗苑路五段77號1、2樓,2015-02-03
