地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
台南市政府,陳立教育事業股份有限公司附設臺南市私立陳立文理短期補習班,,,文理類,中西區北門路1段101號5、8、10樓,2003-06-21
台南市政府,臺南市私立雅姿技藝短期補習班,,may1989x@gmail.com,音樂、舞蹈類,佳里區佳南路446號1-2樓,2021-04-09
台南市政府,臺南市私立崑山華偉文理短期補習班(為比對教職員工資料預登立案資訊),,,文理類,永康區永華路40號1-2樓,2021-04-20
台南市政府,瑞世文創有限公司附設臺南市私立放崇明文理技藝短期補習班(申請變更中),80893447,,文理類,東區崇明路567號1樓、569號1樓,2003-01-09
台南市政府,臺南市私立究學堂文理短期補習班(為比對教職員工資料預登立案資訊),,,文理類,東區東平路269號1-3樓,2021-04-20
台南市政府,優勢學習文教事業有限公司附設臺南市私立加英文理短期補習班,文理454,tinaho0120@gmail.com,外語類,歸仁區文化街三段24號1-2樓、34號1-2樓,2008-06-13
台南市政府,心遠景教育股份有限公司附設臺南市私立心遠景文理短期補習班,"70 1104645",,文理類,東區北門路1段184號4-7樓,1996-05-10
台南市政府,臺南市私立郭英文理短期補習班,21610041,,文理類,歸仁區文化街三段20號1-2樓,2005-02-01
台南市政府,臺南市私立新達文理短期補習班,80915771,,文理類,中西區中山路147號7樓,2003-01-17
台南市政府,樺薪文教股份有限公司附設臺南市私立樺薪文理短期補習班,40787053,,文理類,中西區北門路一段101號6-7樓,2014-10-15
台南市政府,臺南市私立偉群文理短期補習班(變更申請中),,,文理類,南區同興路290號1-2樓,2007-01-22
台南市政府,臺南市私立鉅鑫文理短期補習班,25873570,,文理類,中西區府前路一段132號1-2樓,2010-01-26
台南市政府,臺南市私立佳名文理短期補習班(為比對教職員工資料預登立案資訊),,mingshuesun@gmail.com,文理類,安南區安和路三段113號1-2樓,2021-04-07
台南市政府,臺南市私立維音文理短期補習班(為比對教職員工資料預登立案資訊),,,文理類,安南區溪東一街66號1-2樓、68號1-2樓,2021-04-09
台南市政府,臺南市私立寰宇外語文理短期補習班,20248677,tncosmos.kai@gmail.com,外語類,中西區民族路2段153號6樓,1997-08-19
台南市政府,中國青年救國團附設臺南市私立文理技藝短期補習班崇德分班,88790676,930203@cyc.tw,文理類,東區崇德路62號1-2樓,2013-01-25
台南市政府,巨匠電腦股份有限公司附設臺南市私立巨匠成功文理短期補習班,,allen.tsai@pcschool.com.tw,外語類,中西區成功路95號1-2樓,2014-01-16
台南市政府,巨匠電腦股份有限公司附設臺南市私立巨匠美語短期補習班永康分班,,allen.tsai@pcschool.com.tw,外語類,永康區大灣路934號1-3樓,2015-07-14
台南市政府,臺南市私立福瑞斯特文理短期補習班,,,文理類,安平區府平路144巷58之1號1樓,2021-03-02
台南市政府,伽碩企業有限公司附設臺南市私立職業訓練短期補習班,資訊7,,外語類,永康區中山路94巷1-3號2樓、96號1-2樓,1998-12-14
台南市政府,臺南市私立何嘉仁外語電腦短期補習班,14696487,,外語類,永康區中山南路119巷8號2樓,2002-08-12
台南市政府,臺南市私立維揚文理短期補習班,,,文理類,東區崇善路172號2-3樓,2018-10-02
台南市政府,臺南市私立偉文文理短期補習班,40914543,tainanwaywin@gmail.com,文理類,中西區中山路166-6號3樓,2015-06-05
台南市政府,臺南市私立慶誠文理短期補習班,36794659,sonyzone2004@gmail.com,外語類,安平區文平路75號1-2樓,2011-07-25
