地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
雲林縣政府,私立救國團雲林縣團委會附設語文技藝短期補習班,AJ104,cycyintc@ms15.hinet.net,外語類,雲林縣斗六市斗六五路23號1樓,2000-05-04
雲林縣政府,財團法人雲林縣私立維多利亞國民小學附設維多利亞外語短期補習班,AJ046,personnel@victoria.ylc.edu.tw,外語類,雲林縣斗六市鎮南路1110號,2007-03-08
雲林縣政府,私立小牛津文理短期補習班,AJ080,lise601120@seed.net.tw,文理類,斗六市七賢街8號,2003-06-09
雲林縣政府,私立多思英語短期補習班,AJ097,awesomejory@gmail.com,外語類,斗六市五權街78號,2001-11-29
雲林縣政府,私立家禾文理短期補習班,AK002,theplumeria@hotmail.com,文理類,雲林縣林內鄉光明路241號,2002-06-21
雲林縣政府,雨非思文教事業有限公司附設雲林縣私立雨非思文理短期補習班,AJ149,linyy16898@gmail.com,文理類,雲林縣斗六市中華路495號,2020-09-14
雲林縣政府,展逸有限公司附設山葉技藝文理短期補習班,AD026,,文理類,虎尾鎮中正路221號1、2、3樓,2008-05-20
雲林縣政府,私立林老師文理短期補習班,AL008,miss_lin0515@yahoo.com.tw,文理類,古坑鄉永昌村文昌路174號,2001-06-11
雲林縣政府,私立欣欣文理短期補習班,AO001,ben5982702@yahoo.com.tw,文理類,雲林縣二崙鄉崙西村民權路60-46號1-3樓,2013-12-11
雲林縣政府,私立馨巧文理短期補習班,AJ071,a5516419@yahoo.com.tw,文理類,雲林縣斗六市竹圍路12-4號1-2樓,2004-05-25
雲林縣政府,私立東華文理短期補習班,AS006,ares1807@gmail.com,文理類,雲林縣四湖鄉金山街58號,2000-08-04
雲林縣政府,私立建強文理短期補習班,AS002,,文理類,雲林縣四湖鄉飛沙村大同路100號,2007-10-25
雲林縣政府,私立坤華文理短期補習班,AS001,ccutebear5888tw@yahoo.com.tw,文理類,雲林縣四湖鄉四湖村關聖路22巷2弄9號1、2樓,2009-12-15
