地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
金門縣政府,金門縣私立慧成文理短期補習班,,6819516@gmail.com,文理類,金湖鎮林森路25號,2017-07-07
金門縣政府,金門縣私立樂樂學堂文理短期補習班,,cheerfulacademy2019@gmail.com,文理類,金城鎮民權路161號,2019-03-15
金門縣政府,私立康禾短期補習班,0940053439,kang.ha@msa.hinet.net,文理類,金門縣金城鎮民生路15-6號,2005-10-12
金門縣政府,私立艾歐英語文理短期補習班,,aioenglishbuxiban@gmail.com,文理類,金城鎮民生路43號3F,2018-07-13
金門縣政府,金門縣私立全音音樂教室技藝短期補習班,0930038645,emilyh888@yahoo.com.tw,音樂、舞蹈類,金城鎮珠浦西路22號2樓,2004-09-16
金門縣政府,摘星教育股份有限公司附設金門縣私立星城文理短期補習班,0970039054,chschool3@gmail.com,文理類,金門縣金城鎮珠浦西路6巷3弄5號1-2樓,2008-07-03
金門縣政府,金門縣私立雷米技藝文理短期補習班,,,文理類,金城鎮金城鎮富康一村1巷6號,2015-09-14
金門縣政府,私立台大文理短期補習班,0940017043,w1003168@gmail.com,文理類,金門縣金城鎮北堤路9巷3、4、5、6號,2005-04-08
金門縣政府,私立童學來了小學堂文理/技藝短期補習班,,,外語類,金寧鄉下堡126號1F,2018-07-13
金門縣政府,金門縣私立達人文理短期補習班,,,文理類,金城鎮珠浦北路28-2號2樓,2017-02-20
金門縣政府,金門縣私立邏輯文理短期補習班金城分班,,,文理類,金門縣金城鎮西門里5鄰莒光路169之5號,2019-05-30
金門縣政府,金門縣私立米羅技藝短期補習班,,,美術、書法、攝影、美工設計、圍棋類,金城鎮珠浦北路31-2號1、2樓,2017-01-24
金門縣政府,私立無敵文理短期補習班,0970027302,,文理類,金門縣金城鎮珠浦北路46號,2008-05-13
金門縣政府,私立肯利熊文理短期補習班,0950075214,canlybear@yahoo.com.tw,文理類,金門縣金湖鎮塔后47-12號2樓,2007-01-17
金門縣政府,私立小博識文理語文短期補習班,0960500025,,文理類,金門縣金湖鎮新市里復興路112號3樓,2007-01-03
金門縣政府,金門縣私立夏恩英語文理短期補習班,,,文理類,金湖鎮黃海路3號1、2樓,2020-02-15
金門縣政府,金門縣私立新台大文理短期補習班,,,文理類,金城鎮民權路182號4樓,2020-06-05
金門縣政府,私立劉碩文理短期補習班,0960019492,chichieh-1@hotmail.com,文理類,金門縣金城鎮中興路203號三、四樓,2007-05-23
金門縣政府,私立全音吉的堡美語教室短期補習班,0930036362,emilyh888@yahoo.com.tw,外語類,金城鎮珠浦西路22號3樓,2004-09-16
金門縣政府,私立舞蹈花園專業才藝教室短期補習班,km00005,s5605588@gmail.com,音樂、舞蹈類,金城鎮金寧鄉埔邊130號,2003-11-12
金門縣政府,金門縣私立長頸鹿語文文理短期補習班,,35041jm@gmail.com,文理類,金城鎮珠浦西路6巷3弄6號3樓,2015-03-06
金門縣政府,金門縣私立強勝文理短期補習班,,,文理類,金城鎮民權路122巷20號2樓,2020-03-20
金門縣政府,私立學人文理短期補習班,0970027217,,文理類,金門縣金城鎮富康一村9巷16號,2008-05-12
金門縣政府,私立柏拉圖數學短期補習班,,,文理類,金城鎮金城鎮民權路157號,2013-04-11
金門縣政府,金門縣私立康橋文理短期補習班,0980087625,,文理類,金湖鎮黃海路97之4號,2009-12-31
金門縣政府,私立東方紅短期補習班,0960500026,,外語類,金門縣金湖鎮山外街11號,2007-01-04
金門縣政府,金門縣私立常春藤文理短期補習班,,han330808@yahoo.com.tw,文理類,金湖鎮金門縣金湖鎮復興西路2號2樓,2017-06-20
金門縣政府,私立雷米技藝文理短期補習班小布朗尼分班,,,外語類,金門縣金城鎮民族路93巷5弄17號3樓,2018-06-19
金門縣政府,私立伯朗文理短期補習班,0970007531,pocketly@yahoo.com,文理類,金城鎮民族路162巷2號,2008-01-31
金門縣政府,私立邏輯文理短期補習班,0980079913,,文理類,金湖鎮山外街76-8、76-9號,2009-11-29
金門縣政府,私立金學士短期補習班,0950030421,,文理類,金門縣金沙鎮五福街36號2樓,2006-06-06
金門縣政府,金門縣私立頂尖文理短期補習班,,hjuniorenglish@gmail.com,文理類,金城鎮民生路27巷10號,2016-08-19
金門縣政府,私立智基科技股份有限公司金門分公司附設私立志光法商短期補習班,0960501459,,法政類,金門縣金城鎮民生路43號9樓,2007-06-25
