地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
嘉義縣政府,私立翰林珠算短期補習班,a018,,外語類,民雄鄉保生街3號,1996-12-14
嘉義縣政府,私立金典語文短期補習班,,,外語類,嘉義縣中埔鄉中埔村中埔157之7號1樓,2021-03-17
嘉義縣政府,私立優昇短期補習班,,yoursun930@yahoo.com.tw,文理類,竹崎鄉竹崎村中華路108號1樓,2021-02-04
嘉義縣政府,私立艾瑞克英語短期補習班,,,外語類,嘉義縣新港鄉宮後村13鄰中正路140巷30號1樓,2021-03-26
嘉義縣政府,私立登原短期補習班,,dengyuan1825@gmail.com,文理類,新港鄉登雲路45號1~3樓,2021-01-13
嘉義縣政府,嘉義縣私立金冠文理短期補習班,,shuolun.yct0605@gmail.com,文理類,嘉義縣太保市健康路153號1~3樓,2012-04-23
嘉義縣政府,嘉義縣私立高第文理短期補習班,,topmath101@gmail.com,文理類,嘉義縣太保市北新里中正路186-1號1、2樓,2012-06-04
嘉義縣政府,私立誠楓文理短期補習班,,chengfongschool@gmail.com,文理類,嘉義縣中埔鄉和興村中華路775號1~2樓,2005-05-12
嘉義縣政府,私立叡智文理短期補習班,,a12345xa@yahoo.com.tw,文理類,嘉義縣太保市太保里124號（1~2樓）,2009-03-12
嘉義縣政府,私立金企鵝英語短期補習班,,,文理類,嘉義縣太保市過溝里北港路2段429巷72號2樓,2006-05-22
嘉義縣政府,嘉義縣私立築勤文理短期補習班,,,文理類,水上鄉水上村進學街21號(1樓),2018-05-14
嘉義縣政府,嘉義縣私立創新科學短期補習班,,laihaowei@gmail.com,文理類,太保市東勢里12鄰信義二路177號(1-2樓),2017-12-12
嘉義縣政府,私立維妮美術短期補習班,,,美術、書法、攝影、美工設計、圍棋類,嘉義縣中埔鄉和美村中山路五段732巷30號,2010-09-07
嘉義縣政府,嘉義縣私立力碩文理短期補習班,,iamfish34@gmail.com,文理類,水上鄉柳鄉村16鄰柳子林331之1號1、2樓,2014-06-03
嘉義縣政府,私立鴻源文理短期補習班,,hungyuan7789@gmail.com,文理類,嘉義縣太保市北新里中山路1段576號1至2樓,2006-12-21
嘉義縣政府,嘉義縣私立資優生文理短期補習班,,Sam110620002002@yahoo.com.tw,文理類,水上鄉粗溪村5鄰中興路560號4樓,2012-07-31
嘉義縣政府,私立達誠文理短期補習班,,tacheng566@gmail.com,文理類,嘉義縣水上鄉水上村10鄰外林街93號,2007-08-10
嘉義縣政府,嘉義縣私立泓志文理短期補習班,,,外語類,水上鄉外林街216巷2號1樓,2020-08-26
嘉義縣政府,嘉義縣私立柏瀚文理短期補習班,,,文理類,水上鄉水頭村中興路302號1~4樓,2012-01-04
嘉義縣政府,私立學成美語短期補習班,,julia-0730@yahoo.com.tw,外語類,水上鄉水頭村中正路127號(1樓),2010-12-01
嘉義縣政府,私立鵬嶺文理短期補習班,,,文理類,民雄鄉福樂村光明二街街190號1樓,2020-12-28
嘉義縣政府,私立佳音文理短期補習班,,sam992731@gmail.com,文理類,嘉義縣水上鄉水上村9鄰外林街158號1樓,2020-11-16
嘉義縣政府,私立世界美語文理短期補習班,a059,,文理類,嘉義縣梅山鄉永興村九芎坑55-16號,1999-02-11
嘉義縣政府,私立睿文文理短期補習班,,58132tt@giraffe.com.tw,文理類,朴子市祥和二路西段11號(1-3樓),2007-05-16
嘉義縣政府,私立全美文理短期補習班,,ping60528@yahoo.com.tw,文理類,中埔鄉和興村中華路905號（1~3樓）,2006-02-09
嘉義縣政府,私立彼得潘文理短期補習班,,"scorpio.peter@msa.hinet.net ",音樂、舞蹈類,朴子市山通路1-81號（1~2樓）,2008-02-26
嘉義縣政府,私立聖光文理短期補習班,,,文理類,嘉義縣新港鄉福德村登雲路111巷1號(1樓),2010-12-27
嘉義縣政府,私立科林語文短期補習班,a105,lcj5938@hotmail.com,外語類,太保市南新里16鄰中山路1段144號1至3樓,2006-08-31
嘉義縣政府,嘉義縣私立樂芙文理短期補習班,,tjwlefu183@gmail.com,文理類,朴子市祥和三路西段183號1-2樓,2020-08-17
嘉義縣政府,私立懷軒文理短期補習班,a053,,文理類,嘉義縣竹崎鄉和平村十鄰田寮61號,1998-11-10
嘉義縣政府,私立義德文理短期補習班,,shany830925@yahoo.com.tw,文理類,嘉義縣新港鄉宮後村24鄰新民路173號(1至3樓),2006-12-27
