代號,補習班,班址,電話,立案文號,立案日期
47202106160001,彰化縣私立謝老師文理短期補習班,員林市員林大道172號1、2樓,0932685616,府教社字第1100196047號,2021-06-08
47202106020001,彰化縣私立溫馨學苑文理短期補習班,社頭鄉三民路145號1-2樓,(04)8725855,府教社字第1100190148號,2021-05-31
47202105240001,彰化縣私立立仁文理短期補習班,和美鎮愛禮路72號1、2樓,(04)7565755,府教社字第1100140217號,2021-04-22
47202104060001,彰化縣私立好未來文理短期補習班,彰化市建國東路31號1、2樓,(04)7236200,府教社字第1100110524號,2021-04-01
47202103240001,彰化縣私立鼎烽科學技藝文理短期補習班,員林市三民東街218號1、2樓,(04)8336658,府教社字第1100093815號,2021-03-24
47202103170001,彰化縣私立云理文理短期補習班,鹿港鎮東興路99號1樓,(04)7777012,府教社字第1100087523號,2021-03-16
47202103120001,彰化縣私立育群文理短期補習班花壇分班,花壇鄉學前路71號1、2、3樓,(04)7883239,府教社字第1100078831號,2021-03-11
47202103100002,彰化縣私立高群文理短期補習班,北斗鎮元市街18號1、2樓,(04)8882858,府教社字第1100078835號,2021-03-09
47202103100001,彰化縣私立想讀英語短期補習班,溪湖鎮太平里西環路493號1、2樓,(04)8859116,府教社字第1100074270號,2021-03-09
47202103090001,彰化縣私立文藻人文理短期補習班北斗分班,北斗鎮光復里光復路340號1、2樓,(04)8875590,府教社字第1100067854號,2021-03-08
47202103050001,彰化縣私立齊薪文理短期補習班,彰化市南興里雲長路96之3號1、2樓,0989-767692,府教社字第1100067850號,2021-03-04
47202102250001,彰化縣私立孔夫子文理短期補習班,鹿港鎮鹿草路二段783巷34弄4號1、2樓,(04)7783123,府教社字第1100062363號,2021-02-25
47202102250002,彰化縣私立大黃文理短期補習班,彰化市中正路二段602巷28號1、2樓,0977-739891,府教社字第1100062362號,2021-02-25
47202102090002,彰化縣私立鍾老師珠心算文理短期補習班,員林市三多里永安街211號1樓,(04)8354972,府教社字第1100043030號,2021-02-08
47202102090003,彰化縣私立費士博美語短期補習班,彰化市彰南路二段189號2樓,(04)7388867,府教社字第1100037698號,2021-02-08
47202102090001,彰化縣私立文燕英語短期補習班,鹿港鎮自治街50號1、2樓,0919-099184,府教社字第1100039080號,2021-02-08
47202101260001,彰化縣私立私立耕碩文理短期補習班,彰化市建國北路22、26、28號1、2樓,0923-242999,府教社字第1100028016號,2021-01-22
47202101220001,彰化縣私立斯博特文理短期補習班,永靖鄉永寧街75號1、2樓,(04)8236145,府教社字第1100022480號,2021-01-21
47202101120001,彰化縣私立珵赫文理短期補習班,埤頭鄉彰水路三段479號1、2樓,(04)8927283,府教社字第1100005854號,2021-01-11
47202101080001,彰化縣私立駿勝文理短期補習班,彰化市長順街60號1、2樓,0934-050402,府教社字第1090482102號,2021-01-07
47202101050001,彰化縣私立惠耕文理短期補習班,埤頭鄉崙子村庄子路310巷48號1、2樓,(04)8929777,府教社字第1090477829號,2020-12-30
47202012300001,彰化縣私立樵風技藝短期補習班,彰化市中山路二段949號1樓,0910-804133,府教社字第1090474955號,2020-12-29
47202012180001,彰化縣私立杜克英語短期補習班,員林市三和里大同路一段230號1、2樓,(04)8318509,府教社字第1090458638號,2020-12-17
47202012170001,彰化縣私立智樂文理短期補習班,員林市南平里南平東街21號1、2樓,0966-633987,府教社字第1090454075號,2020-12-15
47202012160001,彰化縣私立亦程文理短期補習班,線西鄉和線路961號1、2樓,(04)7588303,府教社字第1090454066號,2020-12-15
47202012070001,彰化縣私立奧數旗艦文理短期補習班,和美鎮倡和街80、82號1、2樓,0988-561361,府教社字第1090433585號,2020-12-04
47202012040001,彰化縣私立欣蒂文理短期補習班,北斗鎮地政路6之1號1、2樓,0922-861831,府教社字第1090433587號,2020-12-01
47202011020001,彰化縣私立高軒文理短期補習班,伸港鄉新港路326號1、2樓,0929-494515,府教社字第1090390103號,2020-11-02
47202008190001,彰化縣私立天晴文理短期補習班,埤頭鄉彰水路三段534巷29號,0928947283,府教社字第1090370719號,2020-10-20
47202010210001,彰化縣私立功名文理短期補習班,埔心鄉瓦南村中山路363巷2號1樓,(04)8324091,府教社字第1090360162號,2020-10-20
47202010200002,彰化縣私立晨熙美語短期補習班,員林市南平里南平街20號1、2樓,(04)8398650,府教社字第1090373268號,2020-10-19
47202010200001,彰化縣私立傑克森英語短期補習班,溪湖鎮湖東里消防街22號1、2樓,(04)8825009,府教社字第1090368888號,2020-10-19
