地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
桃園市政府,私立赫成文理短期補習班,,hc4225500@gmail.com,文理類,中壢區中央東路88號15樓,2021-04-26
桃園市政府,私立小立偉語文數學自然短期補習班,,3705450@gmail.com,外語類,桃園區宏昌六街296、298號1至2樓,2021-04-26
桃園市政府,朝陽富元教育股份有限公司附設私立朝揚文理短期補習班信義分班,,jy3573568@gmail.com,文理類,中壢區衡陽街8號1-2樓,2006-06-22
桃園市政府,私立安誠文理語文數學短期補習班,,hong-da@shen-chi.com.tw,文理類,蘆竹區南福街27號1-2樓,2005-10-17
桃園市政府,私立優樂兒語文文理數學短期補習班,,Jovvy0209@yahoo.com.tw,文理類,桃園市八德區豐田三路91號1樓,2021-03-23
桃園市政府,私立小森林美語短期補習班,0402,sherrybennykammy71@gmail.com,外語類,平鎮區文化街63號1至3樓,2002-10-24
桃園市政府,私立林華語文文理短期補習班,,lrj1967@ms53.hinet.net,文理類,平鎮區廣平街36號1樓,2009-11-05
桃園市政府,私立方華內歷數學語文文理短期補習班,,,文理類,中壢區復華一街80號1-4樓(1樓部分),2021-03-31
桃園市政府,私立富國機電短期補習班,,zijie8001@gmail.com,電機、汽車修護、建築、工藝、製圖類,桃園區壽昌街9之2號3樓及9之3號4樓,2021-04-08
桃園市政府,朝陽富元教育股份有限公司附設私立朝揚文理短期補習班大業分班,,jy3169958@gmail.com,文理類,桃園區民光東路158號1樓,2021-04-15
桃園市政府,私立建展美語短期補習班,,sesboss2003@yahoo.com.tw,外語類,中壢區成章四街93.95.97號一樓,2007-04-10
桃園市政府,私立勝群數學語文短期補習班,,ywhhywhh@yahoo.com.tw,文理類,楊梅區楊新路二段47號1-3樓,2009-09-30
桃園市政府,私立小熊文理語文珠心算數學短期補習班,,BlackHsiao@me.com,商類：珠算、心算、會計,大溪區文化路81號1樓,2001-11-06
桃園市政府,私立和陽美語珠算短期補習班,,hoyoung_class@yahoo.com.tw,外語類,中壢區力行北街79號1樓,2005-08-04
桃園市政府,私立立偉文理語文短期補習班,,envon2002@gmail.com,文理類,桃園市桃園區國際路一段1169號2樓,2009-03-17
桃園市政府,私立舞荳音樂舞蹈短期補習班,,woodou168@gmail.com,音樂、舞蹈類,桃園區宏昌十二街592號1樓,2013-09-25
桃園市政府,私立小蒲公英數學文理美語作文短期補習班永順分班,,dandelionyses@gmail.com,文理類,桃園區永順街79號1至3樓,2020-12-07
桃園市政府,私立風雲閣文理短期補習班,,imicon2020@gmail.com,文理類,桃園區民生路852之2號1樓及夾層,2021-04-19
桃園市政府,私立學堡美語文理音樂短期補習班,,,文理類,平鎮區中豐路南勢二段297號1-3樓,2013-11-26
桃園市政府,私立聖芬騰美語短期補習班,,xxto@hotmail.com,外語類,平鎮區廣泰路227號1-5樓,2009-07-08
桃園市政府,私立康妮斯語文短期補習班,,yangmin.chaoshun@gmail.com,外語類,桃園區大同路123號1至4樓,2005-10-06
桃園市政府,私立學盈語文文理短期補習班,,sda0715@yahoo.com.tw,文理類,八德區廣興路71號1-2樓,2017-10-05
桃園市政府,私立冠軒美語數學作文短期補習班,,ty93650989@gmail.com,外語類,桃園區上海路117號1-4樓,2010-02-01
桃園市政府,私立福克斯文理語文數學短期補習班青埔分班,,tim6868tw@gmail.com,文理類,大園區致善路一段88號1樓,2021-04-06
桃園市政府,私立冠荏語文數學文理短期補習班,,te10980225435@gmail.com,文理類,楊梅區三民路57號1-4樓,2020-09-14
桃園市政府,私立莎酈絲美語文理短期補習班,,,文理類,平鎮區南京路125巷43號1-4樓,2007-01-17
桃園市政府,私立志意美術短期補習班,,chihyiart@gmail.com,美術、書法、攝影、美工設計、圍棋類,中壢區東明街89號1樓,2019-09-23
桃園市政府,私立靚妍美容美髮技藝短期補習班,,liwanhua955867616@gmail.com,美容、美髮理髮類,桃園區中華路10號4樓之3,2021-04-12
桃園市政府,私立美亞美語短期補習班,,mayyaenglishschool@yahoo.com.tw,外語類,大溪區中正路45號1至2樓,2000-09-28
桃園市政府,私立美亞美語短期補習班僑愛分班,,mayyaenglishschool@yahoo.com.tw,外語類,大溪區僑愛一街100號,2013-02-06
桃園市政府,勝恩教育有限公司附設私立勝芯語文文理短期補習班,,nl4628805@meikoschool.com.tw,文理類,中壢區長春路130號1樓,2021-03-31
桃園市政府,私立原選製菓烘焙短期補習班,,wulala1833@gmail.com,家政、插花、烹飪類,中壢區實踐路225之10號1-2樓,2021-04-06
桃園市政府,得勝者文教股份有限公司附設私立選才文理短期補習班,,,文理類,桃園市桃園區成功路一段32號13樓,2015-04-21
桃園市政府,私立宏義文理短期補習班,,ggmm520@yahoo.com.tw,文理類,平鎮區德育路251號1至3樓,2001-06-13
桃園市政府,私立大金華英語會話短期補習班,0405,,外語類,八德區忠孝街32號1-2樓、45號1-3樓,2000-01-26
桃園市政府,地球村文化藝術有限公司附設私立國際地球村語文短期補習班,,,外語類,蘆竹區中正路312號1-2樓,2011-07-15
桃園市政府,私立創思學習文理數學語文短期補習班市府分班,,jackyucchi@gmail.com,文理類,桃園區中山路468號2樓,2020-10-29
桃園市政府,私立大石門文理短期補習班,0171,,文理類,龍潭區中正路185巷15號1-2樓,1996-11-04
桃園市政府,巨匠電腦股份有限公司桃園美語分公司附設私立巨將美語短期補習班,0362,allen.tsai@pcschool.com.tw,外語類,桃園區大同路24號3樓,1987-07-31
桃園市政府,私立睿緯文理語文短期補習班,,shm7415@gmail.com,文理類,楊梅區裕榮路114號1-4樓,2020-11-09
桃園市政府,巨匠電腦股份有限公司桃園分公司附設私立炬匠電腦短期補習班,,allen.tsai@pcschool.com.tw,資訊類,桃園區民權路6號2樓,2008-06-17
桃園市政府,私立瀚海文理語文數學短期補習班,,king5983@yahoo.com.tw,文理類,龍潭區神龍路278號1~3樓,2002-12-11
桃園市政府,私立企鵝家族語文數學科學短期補習班,,ivanchung1964@gmail.com,外語類,中壢區莊敬路730號1-2樓,2019-07-19
桃園市政府,私立漢揚文理語文短期補習班,,Leem38481@gmail.com,文理類,平鎮區德育路243號1-2F,2007-04-26
桃園市政府,私立銓才文理短期補習班,,,文理類,桃園區中山路904巷26號1樓及26之1號1至4樓,2003-09-19
桃園市政府,私立大育昇文理短期補習班,,yeswinchamp@gmail.com,文理類,桃園區南豐三街107號2、3樓,2013-06-20
桃園市政府,私立嘉晉文理語文短期補習班,,,文理類,龜山區文化七路89號1-4樓,2015-02-11
桃園市政府,私立凱濼美語文理短期補習班,,jojoapr@gmail.com,文理類,大溪區介壽路212巷70號1樓,2020-03-19
桃園市政府,私立宇盛技藝短期補習班,,nx1210331@gmail.com,電機、汽車修護、建築、工藝、製圖類,桃園區成功路一段31之6號7樓,2016-01-26
桃園市政府,私立鵬遠文理數學美語短期補習班,,reginhung@gmail.com,文理類,桃園市中壢區民權路80號2樓,2021-03-18
桃園市政府,私立擊韻音樂短期補習班,,jhongli.meiling@gmail.com,音樂、舞蹈類,中壢區中央西路2段30號8樓A室,2000-01-18
桃園市政府,私立莫大衛英語短期補習班,," modawei@yahoo.com",外語類,桃園區中埔一街86號3樓,2020-12-30
桃園市政府,私立吉鹿美語短期補習班,,,外語類,平鎮區延平路2段416號1樓,2002-09-20
桃園市政府,志光教育科技股份有限公司附設私立正志光文理法商短期補習班,,moumi0920@hotmail.com,文理類,中壢區中山路100號9樓及中央東路88號9樓部分,2015-01-12
桃園市政府,私立陞恩美語文理短期補習班,,Norman.kn.tang@gmail.com,文理類,桃園區青溪里28鄰自強路163號1-2樓,2013-07-15
桃園市政府,私立匯儒文理短期補習班,,Cashow02@yahoo.com.tw,文理類,桃園市大園區中山南路182號2樓,2021-02-05
桃園市政府,私立千友創意美術音樂英文短期補習班,,u8633045@yahoo.com.tw,外語類,桃園區大豐路197號1至2樓,2015-01-29
桃園市政府,私立津煜美語電腦短期補習班,,,外語類,中壢區金鋒街15號1-2樓及3號1-2樓,2000-10-23
桃園市政府,私立聖揚文理美語珠心算短期補習班,,,文理類,平鎮區延平路2段430巷24號1至5樓,2001-05-29
桃園市政府,私立時代國際語文短期補習班,,johnman@language-world.com.tw,外語類,桃園區復興路186號11樓,2011-04-22
桃園市政府,私立宗和文理短期補習班,,mbyy19781224@gmail.com,文理類,蘆竹區大竹路539號2樓,2007-12-20
桃園市政府,私立瑞苗美語文理短期補習班,,kalliehung@hotmail.com,文理類,龜山區文德路86號1樓,2015-11-09
桃園市政府,私立理捷英文短期補習班,,lejetenglish@gmail.com,外語類,桃園區南豐街245號1樓,2019-10-15
桃園市政府,私立聯成一語文短期補習班,,james@abcgo.com.tw,外語類,桃園區大同路77-2號1至3樓,2018-05-25
桃園市政府,私立法雅音樂短期補習班,,falla3165777@yahoo.com.tw,音樂、舞蹈類,桃園區大有路575號2樓之1,2012-06-28
桃園市政府,私立尚譽語文短期補習班,,jana417@yahoo.com,外語類,蘆竹區竹中街194號2樓,2010-07-08
桃園市政府,私立柏克萊語文數學短期補習班,,,外語類,中壢區龍陵路197號1樓,2020-11-16
桃園市政府,私立思研文理短期補習班,,Siyan.school@gmail.com,文理類,平鎮區廣泰路230號1樓,2020-10-07
桃園市政府,私立天堂鳥英語短期補習班,,chairman@hanyin.org,外語類,龍潭區中正路471號3樓,2020-12-08
桃園市政府,私立威妮斯語文數學文理短期補習班,,terrywinnie@kimo.com,文理類,觀音區新生路136號1-3樓,2020-11-11
桃園市政府,私立佳恩語文數學文理短期補習班,,ntugavin@gmail.com,文理類,八德區忠勇西街1號2-4樓,2020-12-16
桃園市政府,私立內立文城文理短期補習班忠孝分班,,maud1014@yahoo.com.tw,文理類,中壢區忠孝路107、109號2樓及文化路130巷39、41號2樓,2011-07-22
桃園市政府,私立瑞文技藝短期補習班,,regina.leeng7354@gmail.com,其他類,平鎮區廣德街192巷11號1~2樓,2007-11-13
桃園市政府,私立辰果美語文理短期補習班,,airu12051728@yahoo.com.tw,文理類,龜山區光峰路232號2樓及236號2樓,2013-03-13
桃園市政府,私立史考特新世界美語短期補習班,,http://newworldenglish.com,外語類,中壢區致遠一路206號1-2樓及致遠二路30號1-2樓,2015-03-06
桃園市政府,私立新諾奧美語文理短期補習班,,,外語類,中壢區成都路26號1樓及潮州街22號1樓,2015-06-18
桃園市政府,私立昊亮文理語文短期補習班,,yeachili@yahoo.com.tw,文理類,桃園區中華路33號8樓之1及8樓之2,2007-11-06
桃園市政府,私立宏學文理數學美語短期補習班,,zhan3434581@yahoo.com.tw,文理類,龜山區明仁路15號2-5樓,2010-03-04
桃園市政府,私立學優美語心算補習班,,,外語類,蘆竹區中山路43巷2號1樓,2003-11-04
桃園市政府,私立李紹陽文理語文短期補習班升大學站前分班,,sylee.victor3@gmail.com,文理類,桃園區復興路110號4樓,2011-04-18
桃園市政府,私立優勢國際美語數學短期補習班,,Una1972u@yahoo.com.tw,外語類,桃園區宏昌十二街502號1樓,2020-05-22
桃園市政府,私立諾亞美語文理短期補習班,,,外語類,楊梅區自立街160之1號1至3樓,2002-12-27
桃園市政府,私立艾立笙文理語文短期補習班,,edwardteng@yahoo.com,文理類,龍潭區龍華路365號1-2樓,2007-05-10
桃園市政府,私立金學堂英語短期補習班,,ge6f138@gmail.com,外語類,中壢區中山路138號6樓,2012-08-17
桃園市政府,私立以利亞語文短期補習班,,minianne0509@yahoo.com.tw,外語類,中壢區長沙路176號1F,2004-12-13
