地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
新北市政府,私立芯豐文理技藝短期補習班,110025,,文理類,新莊區榮華路2段18號(1、2樓),2021-04-23
新北市政府,私立弦心音樂技藝短期補習班,110012,,音樂、舞蹈類,淡水區新市一路3段101巷55號(1樓),2021-03-22
新北市政府,私立高明一對一學習有限公司附設高霖文理短期補習班,110011,,文理類,林口區仁愛路2段200號(1樓),2021-03-24
新北市政府,私立微新文理短期補習班,110013,,文理類,淡水區真理街4之5號1、2樓,2021-03-26
新北市政府,私立昱見文理短期補習班,110009,,文理類,永和區中正路320號2樓、得和路104巷18號2樓,2021-03-23
新北市政府,高明一對一學習有限公司附設創學文理短期補習班,104097,,文理類,中和區廣福路57號(1、2樓),2015-11-20
新北市政府,私立小太陽教育事業股份有限公司附設空美菁英文理技藝短期補習班,108106,,文理類,板橋區光環路2段8、10、12號(各1樓及夾層),2019-12-11
新北市政府,私立美聲音樂短期補習班,92124,pmtmusic@yahoo.com.tw,音樂、舞蹈類,樹林區大雅路348號1、2樓,2003-05-21
新北市政府,私立新學耀文理技藝短期補習班,110024,,文理類,新莊區中港路145號1、2樓,2021-04-23
新北市政府,私立加百列文理短期補習班,110022,,文理類,林口區文化一路1段39號4樓,2021-04-23
新北市政府,私立奇濼文理技藝短期補習班,110023,,文理類,三峽區學成路157號(1樓及夾層),2021-04-22
新北市政府,私立中冠文理技藝短期補習班,109081,,文理類,蘆洲區中華街74號2樓,2020-09-02
新北市政府,私立日月音樂教育短期補習班,103017,,音樂、舞蹈類,板橋區文化路1段192號2樓,1979-06-20
新北市政府,私立張立數學文理短期補習班,110021,,文理類,永和區永和路2段147號4樓之2、4樓之3,2021-04-20
新北市政府,私立博引文理補習班,90158,,文理類,三重區永福街250號1樓,2001-11-08
新北市政府,私立睿林教育文理短期補習班,110015,,文理類,蘆洲區長安街240號4樓,2021-03-26
新北市政府,私立必成文理短期補習班,91187,usmathtw@gamil.com,文理類,新莊區忠孝街93號1、2樓,2002-09-19
新北市政府,私立安蕎文理短期補習班,102037,jochiaochen@gmail.com,文理類,樹林區大有路55號(1、2、3、4、5樓),2013-05-01
新北市政府,私立無敵兒文理短期補習班,89072,superkids5168@yahoo.com.tw,文理類,新店區安德街47號2樓、48號4樓,2000-06-19
新北市政府,私立小小林圍棋菁英技藝短期補習班,107100,,美術、書法、攝影、美工設計、圍棋類,新店區北新路2段262號2樓之4,2018-11-12
新北市政府,私立自立文理短期補習班,110020,,文理類,新莊區自立街85號(1樓),2021-04-19
新北市政府,私立知行合一教育科技有限公司附設文馨文理短期補習班,89040,,文理類,三重區溪尾街307號1、2樓,2000-04-07
新北市政府,私立威斯頓文理語文短期補習班,89224,,文理類,新店區三民路32-1號4樓,1993-05-13
新北市政府,綺響音樂語文美術補習班,88084,a55135kimo@yahoo.com.tw,外語類,三重區三民街316號2樓(門牌整編),1999-07-08
新北市政府,私立傑儒文理技藝短期補習班,109099,,文理類,林口區文化一路1段99之3號(1、2樓),2020-10-06
新北市政府,私立冠銘語文短期補習班,96157,,外語類,新店區建國路150號、150號2樓,2007-09-26
新北市政府,私立山拇叔叔文理短期補習班,92306,usasacc@gmail.com,外語類,三峽區學勤路125號地下1樓,2003-11-26
新北市政府,私立巨登秀山文理短期補習班,93049,minghui1212@gmail.com,文理類,中和區自立路31號1、2樓,2004-03-04
新北市政府,私立巨匠電腦股份有限公司新莊分公司附設巨四電腦美語短期補習班,93256,allen.tsai@pcschool.com.tw,外語類,新莊區中正路234號、234號2樓、234號3樓,2004-08-10
新北市政府,私立探索樂學文理短期補習班,93207,,文理類,三重區重新路四段63號3樓、3樓之1,2004-07-22
新北市政府,私立佑仁文理才藝短期補習班,92017,,外語類,三重區正義北路288號2、3樓,2001-04-09
新北市政府,私立超仁文理短期補習班,98088,playjimy19@gmail.com,文理類,樹林區中華路119號(1樓),2009-06-03
新北市政府,私立張豪文理短期補習班,110019,,文理類,三重區集賢路1號1樓,2021-04-12
