地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
花蓮縣政府,私立耕讀園文理技藝短期補習班,,rc5682@yahoo.com.tw,文理類,花蓮縣鳳林鎮中華路192號1至4樓,2007-01-31
花蓮縣政府,私立維英短期補習班,,,文理類,花蓮市富吉路38號1至3樓,2021-04-15
花蓮縣政府,私立英爵短期補習班,,,文理類,花蓮市林森路159號1至2樓,2021-04-06
花蓮縣政府,巨匠電腦短期補習班,,allen.tsai@pcschool.com.tw,資訊類,花蓮市中山路180號,1998-04-27
花蓮縣政府,私立巨匠電腦股份有限公司附設巨匠美語短期補習班,,llovewe@pcschool.com.tw,文理類,花蓮市中正路478號1至2樓,2017-02-15
花蓮縣政府,私立小登科文理技藝短期補習班,,xdk8653472@gmail.com,文理類,花蓮縣壽豐鄉中山路六段24號,2001-03-15
花蓮縣政府,私立何嘉仁文理短期補習班,,hs3371@hess.com.tw,外語類,花蓮市博愛街272號2樓及3樓,2002-07-03
花蓮縣政府,私立新學賦文理短期補習班,,marslee0727@gmail.com,文理類,花蓮市中華路325~2號1-4樓,2020-06-22
花蓮縣政府,私立小森林文理短期補習班,,,文理類,花蓮市節約街83號1至2樓,2007-09-03
花蓮縣政府,私立春田文理技藝短期補習班,,spring.field@msa.hinet.net,文理類,花蓮縣吉安鄉壽昌街31號1至2樓,2003-09-23
花蓮縣政府,私立半畝溏短期補習班,,,文理類,花蓮市中原路325號1-2樓,2016-09-29
花蓮縣政府,私立茁苗文理技藝短期補習班,,cwirislin@gmail.com,文理類,花蓮市中美三街86號．86-1號1-3樓、中美路89巷16號1-2樓,2012-02-20
花蓮縣政府,私立永丞文理短期補習班,,8362768@gmail.com,文理類,花蓮市林森路23.25號,2016-11-04
花蓮縣政府,私立經緯文理技藝短期補習班,,a_peter2004@yahoo.com.tw,文理類,花蓮市榮正街85號,2003-08-27
花蓮縣政府,私立王朝數學短期補習班,,,文理類,花蓮市國風街35號1至3樓,2007-10-18
花蓮縣政府,私立得勝文理短期補習班,,a0915735232@gmail.com,文理類,花蓮市中山路210號7樓,2010-06-18
花蓮縣政府,私立前山文理技藝短期補習班,,jennifer@orenglish.com.tw,外語類,花蓮市自由街128之7號1-4樓,2002-08-09
花蓮縣政府,私立巨人文理短期補習班,,,文理類,花蓮市民國路32-3號,1996-10-16
花蓮縣政府,私立益光文理短期補習班,,,文理類,花蓮市大同街19號1-3樓,2020-09-18
花蓮縣政府,私立小博士文理技藝短期補習班,,,文理類,花蓮縣吉安鄉建昌路43號1-3樓,2003-10-06
花蓮縣政府,私立亞倫美語文理短期補習班,,allansherry1@gmail.com,文理類,花蓮縣瑞穗鄉國光北路81號1-2樓,2008-04-07
花蓮縣政府,私立全功文理短期補習班,,hsu.mingmin@msa.hinet.net,文理類,花蓮市建林街177巷26號,2007-07-16
花蓮縣政府,私立巨人太昌短期補習班,,,文理類,花蓮縣吉安鄉建國路二段265號2樓,2020-11-25
花蓮縣政府,私立躍進文理短期補習班,,,文理類,花蓮市鎮國街5號,2014-08-15
花蓮縣政府,私立創新文理技藝短期補習班,,ping.mails@msa.hinet.net,文理類,花蓮縣吉安鄉中山路2段77號,2005-04-19
花蓮縣政府,私立小袋鼠文理技藝短期補習班,,cwj480120@gmail.com,文理類,花蓮市國富21街42號,2000-06-21
花蓮縣政府,私立小智星文理學堂短期補習班,,,文理類,吉安鄉建昌路130號,2020-10-16
花蓮縣政府,私立銘興文理短期補習班,,,文理類,花蓮市中正路168巷11弄13號,2002-09-06
花蓮縣政府,私立育欣文理短期補習班,,,文理類,花蓮縣吉安鄉勝安一街116號1樓,2015-08-26
花蓮縣政府,私立家私塾短期補習班,,mika1833@gmail.com,文理類,花蓮市國風街27號,2016-04-12
花蓮縣政府,私立方程文理短期補習班,,licers@ms57.hinet.net,文理類,花蓮市國風街70號,2005-06-23
花蓮縣政府,私立賽恩斯資優科學教室短期補習班,,,文理類,花蓮市榮正街116號1樓,2016-08-03
花蓮縣政府,私立全位文理技藝短期補習班,,a0933484133@yahoo.com.tw,文理類,花蓮市德安一街40號,2004-04-09
花蓮縣政府,私立佳英英語會話短期補習班,,joycoco.hualien@msa.hinet.net,外語類,花蓮市大同街10-1號1-3樓,1991-04-12
花蓮縣政府,私立秀林學苑文理短期補習班,,u0933986257@gmail.com,文理類,花蓮縣吉安鄉吉昌三街85號1樓,2012-08-29
花蓮縣政府,私立鄭傳英文短期補習班,,,文理類,花蓮市國風街52-1號1樓,2019-10-07
花蓮縣政府,夢想家民權教室文理技藝短期補習班,,lulubox@gmail.com,文理類,花蓮市民權九街8-2號1樓,2006-06-21
花蓮縣政府,私立夢想家文理短期補習班,,,文理類,花蓮市中美路86號1-2樓,2018-01-17
