地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
屏東縣政府,屏東縣私立宸妡宇文理短期補習班,,,文理類,屏東縣東港鎮光復路一段291號,2021-03-22
屏東縣政府,屏東縣私立吉凱特文理短期補習班,,,文理類,屏東縣東港鎮水源二街28號1-2樓,2016-07-29
屏東縣政府,屏東縣私立華瑋文理短期補習班,,,文理類,屏東縣萬丹鄉萬新路1409巷21號1-2樓,2017-01-20
屏東縣政府,屏東縣私立振昌文理短期補習班,,,文理類,屏東縣林邊鄉榮農路5巷10-20號1樓,2017-06-19
屏東縣政府,屏東縣私立可尚文理短期補習班,,,文理類,屏東縣萬丹鄉社皮路二段360號1-2樓,2018-01-08
屏東縣政府,屏東縣私立魔荳美語短期補習班,,,文理類,屏東縣東港鎮中正路二段505號1-2樓,2018-03-12
屏東縣政府,屏東縣私立晴慧文理技藝短期補習班,,,文理類,屏東縣東港鎮水源路40號1~2樓,2020-12-08
屏東縣政府,屏東縣私立隆安文理短期補習班,,,文理類,屏東縣枋寮鄉隆安路150巷23號1樓,2021-04-12
屏東縣政府,屏東縣私立芝麻街美語文理短期補習班,,,外語類,屏東市自由路420-7號1.2.4樓,2003-06-30
屏東縣政府,屏東縣私立優質美語短期補習班,,,外語類,屏東市自由路420-9號,2008-10-03
屏東縣政府,屏東縣私立毅欣文理短期補習班,,,文理類,屏東市光復路74號1樓,2021-03-30
屏東縣政府,屏東縣私立全明文理短期補習班,,,文理類,屏東縣潮州鎮曲江街20巷3號1-2樓,2010-02-10
屏東縣政府,屏東縣私立喬安文理技藝短期補習班,,lin641022@yahoo.com.tw,文理類,屏東縣潮州鎮自由路206號,2010-12-24
屏東縣政府,屏東縣私立皇甫文理短期補習班,,,文理類,屏東縣東港鎮興東里明德路93號1樓,2019-03-08
屏東縣政府,屏東縣私立盧老師珠心算文理美語短期補習班,,erinhsu0423@gmail.com,文理類,屏東縣新園鄉共和村鹽港路55號1-3樓,2005-02-14
屏東縣政府,屏東縣私立王老師美語文理短期補習班,,,文理類,屏東縣新園鄉中洲村仁愛路33號1~3樓,2009-07-09
屏東縣政府,屏東縣私立艾林文理美語短期補習班,,chenirene0124@gmail.com,文理類,屏東縣新園鄉新厝路96號1~2樓,2013-12-09
