地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間
嘉義市政府,嘉義市私立喜樂文理短期補習班,,sandra2029@hotmail.com,文理類,600082嘉義市德明路53號(1-2樓),2019-09-07
嘉義市政府,嘉義市私立文慧文理短期補習班,,,文理類,嘉義市東區芳安路402號,2014-11-07
嘉義市政府,嘉義市私立曜進文理短期補習班,b130,,外語類,600039嘉義市興仁街24巷2號1樓,1997-03-31
嘉義市政府,嘉義市私立林肯文理短期補習班,b196,lincolnamerican191@gmail.com,外語類,嘉義市維新路191號2樓,2002-04-30
嘉義市政府,李揚教育股份有限公司附設嘉義市私立識學文理短期補習班,,ly2283990@yahoo.com.tw,文理類,600003嘉義市延平街448號10樓之1、之2,2011-03-29
嘉義市政府,嘉義市私立亨竣文理短期補習班,,,文理類,嘉義市環興街53號1~2樓,2021-04-13
嘉義市政府,嘉義市私立沛樂多文理技藝短期補習班,,,外語類,嘉義市西區垂楊路400號4樓之2,2021-04-13
嘉義市政府,嘉義市私立弘育文理短期補習班,,hy2340111@gmail.com,文理類,600054嘉義市西區文化路547號(1~2樓),2019-10-22
嘉義市政府,嘉義市私立諾爾堡文理短期補習班,b172,nobleschoolnoble@gmail.com,外語類,600047嘉義市大雅路一段850號,2000-03-22
嘉義市政府,嘉義市私立育名文理短期補習班,a182,yuming2396596@gmail.com,文理類,600038嘉義市東區溪興街23號(1-4樓),2001-10-04
嘉義市政府,嘉義市私立艾爾文理短期補習班,,,文理類,600043嘉義市東區興安里興美六路80號(1-2樓),2019-07-12
嘉義市政府,嘉義市私立杰德文理短期補習班,,jadeenglish2012@gmail.com,文理類,600011嘉義市東區中山里18鄰維新路112號(1-4樓),2011-03-16
嘉義市政府,嘉義市私立亞特文理技藝短期補習班,,kuoshengyuan@gmail.com,文理類,嘉義市東區新生路726號(1-3樓),2006-01-18
嘉義市政府,嘉義市私立莉莉文理短期補習班,,,文理類,嘉義市嘉北街12巷1號(1-2樓),2010-01-05
